sample_id,accession,encoder_task,encoder_prompt,encoder_response
GSM194104,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM194105,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM194106,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM194107,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM194108,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM194109,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM194110,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM194111,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM194112,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM194113,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM194114,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM194115,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM194116,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM194117,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM194118,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM194119,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM194120,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM194121,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM194122,GSE7890,keloid_vs_normal,"Given this microarray expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM2432365,GSE92566,lesional_status,"Given this keloid microarray expression profile, predict the lesional status. Answer:",non_lesional
GSM2432366,GSE92566,lesional_status,"Given this keloid microarray expression profile, predict the lesional status. Answer:",lesional
GSM2432367,GSE92566,lesional_status,"Given this keloid microarray expression profile, predict the lesional status. Answer:",non_lesional
GSM2432368,GSE92566,lesional_status,"Given this keloid microarray expression profile, predict the lesional status. Answer:",lesional
GSM2432369,GSE92566,lesional_status,"Given this keloid microarray expression profile, predict the lesional status. Answer:",new_keloid_formation
GSM2432370,GSE92566,lesional_status,"Given this keloid microarray expression profile, predict the lesional status. Answer:",non_lesional
GSM2432371,GSE92566,lesional_status,"Given this keloid microarray expression profile, predict the lesional status. Answer:",lesional
GSM2396556,GSE90051,keloid_normal_contrast,"Given this paired keloid-over-normal expression contrast, identify the contrast type. Answer:",keloid_over_normal
GSM2396557,GSE90051,keloid_normal_contrast,"Given this paired keloid-over-normal expression contrast, identify the contrast type. Answer:",keloid_over_normal
