sample_id,accession,encoder_task,encoder_prompt,encoder_response
GSE175866_KF_other_keloid_fibroblasts,GSE175866,fibroblast_state,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast state. Answer:",other_keloid_fibroblast
GSE175866_KZ_CD266pos_CD9neg_fibroblasts,GSE175866,fibroblast_state,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast state. Answer:",CD266pos_CD9neg_fibroblast
GSE163973_KF1_Endothelial,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Endothelial
GSE163973_KF1_Fibroblast,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Fibroblast
GSE163973_KF1_Keratinocyte,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Keratinocyte
GSE163973_KF1_Unknown,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Unknown
GSE163973_KF1_muscle_fiber,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",muscle_fiber
GSE163973_KF1_Lymphatic_endothelial,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Lymphatic_endothelial
GSE163973_KF1_Immune_cell,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Immune_cell
GSE163973_KF1_Glandular,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Glandular
GSE163973_KF1_Neural_cell,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Neural_cell
GSE163973_KF1_Endothelial_cluster_0,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_0
GSE163973_KF1_Endothelial_cluster_5,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_5
GSE163973_KF1_Endothelial_cluster_6,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_6
GSE163973_KF1_Fibroblast_cluster_1,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_1
GSE163973_KF1_Fibroblast_cluster_3,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_3
GSE163973_KF1_Fibroblast_cluster_7,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_7
GSE163973_KF1_Fibroblast_cluster_13,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_13
