accession,modality,n_profiles,n_keloid,n_non_keloid,n_patients,n_unknown_patients,n_module_genes_present,module_variance_sum,all_zero_programs
E-MTAB-2509,arrayexpress,27,9,18,1,27,109,2.912503516434483,False
E-MTAB-4945,arrayexpress,40,27,13,15,0,109,5.298424342762667,False
GSE121618,public_keloid,11,5,6,11,0,110,4.448033597684323,False
GSE145725,microarray,19,9,10,10,0,109,3.528699864191151,False
GSE158395,bulk_rnaseq,13,7,6,9,0,108,5.165273394582769,False
GSE163973,scrna_spatial,6,3,3,6,0,107,2.2405442421896975,False
GSE173900,public_keloid,9,5,4,9,0,110,6.380078664668002,False
GSE175866,scrna_spatial,2,2,0,1,0,107,5.224489795918366,False
GSE178562,public_keloid,8,2,6,4,0,110,2.385837929472715,False
GSE181297,scrna_spatial,7,4,3,7,0,107,6.491495319585627,False
GSE181316,public_keloid,8,4,4,7,0,110,6.939249572802526,False
GSE185309,public_keloid,17,9,8,17,0,110,3.706279728746922,False
GSE188952,bulk_rnaseq,12,4,8,1,12,108,4.897705925149001,False
GSE190626,public_keloid,6,3,3,6,0,110,6.381727545497482,False
GSE191067,public_keloid,12,3,9,12,0,110,6.26885660666696,False
GSE210434,public_keloid,9,3,6,9,0,110,4.074977904961292,False
GSE212954,public_keloid,11,7,4,11,0,110,4.938888151985287,False
GSE232079,public_keloid,14,10,4,7,0,110,3.9934177490037053,False
GSE237752,public_keloid,6,3,3,6,0,110,6.472450895624956,False
GSE245660,public_keloid,5,3,2,5,0,110,6.0574113762397594,False
GSE246562,public_keloid,12,6,6,6,0,110,4.211721844389578,False
GSE282479,public_keloid,7,3,4,7,0,110,5.50813128145548,False
GSE303591,public_keloid,8,4,4,2,0,110,3.9043542146184445,False
GSE44270,microarray,32,18,14,1,32,109,4.650105733744377,False
GSE7890,microarray,19,10,9,10,0,109,3.2511898883558485,False
GSE92566,microarray,7,7,0,3,0,109,5.3444977987674775,False
Sun_Burns,bulk_rnaseq,25,17,8,1,25,108,5.115444183106974,False
