accession,n_profiles,n_donors,lockbox,cohort_role,encoder_task,keloid_vs_unaffected_skin_keloid,keloid_vs_unaffected_skin_non_keloid,keloid_vs_unaffected_skin_evaluable,keloid_vs_normal_scar_keloid,keloid_vs_normal_scar_non_keloid,keloid_vs_normal_scar_evaluable,keloid_vs_pathologic_scar_keloid,keloid_vs_pathologic_scar_non_keloid,keloid_vs_pathologic_scar_evaluable,clean_keloid_binary_keloid,clean_keloid_binary_non_keloid,clean_keloid_binary_evaluable,fibroblast_keloid_binary_keloid,fibroblast_keloid_binary_non_keloid,fibroblast_keloid_binary_evaluable,keloid_binary_keloid,keloid_binary_non_keloid,keloid_binary_evaluable
E-MTAB-2509,27,1,False,existing,keloid_vs_normal,0,0,False,0,0,False,0,3,False,3,3,True,3,6,True,9,18,True
E-MTAB-4945,40,15,False,existing,keloid_vs_normal,23,7,True,0,0,False,0,0,False,27,13,True,3,3,True,27,13,True
GSE113619,26,14,False,development,wound_susceptibility,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
GSE121618,11,11,False,development,keloid_vs_normal,0,0,False,5,0,False,5,0,False,5,6,True,0,0,False,5,6,True
GSE145725,19,10,False,existing,keloid_vs_normal,0,0,False,0,0,False,0,0,False,9,10,True,9,10,True,9,10,True
GSE158395,13,9,False,unknown,lesional_status,4,9,True,0,0,False,0,0,False,0,6,False,0,0,False,7,6,True
GSE160536,1,1,False,unknown,out_of_domain_fibrotic_state,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
GSE163973,220,6,False,unknown,celltype_subcluster,0,0,False,110,110,True,110,0,False,110,110,True,47,51,True,3,3,True
GSE173900,9,9,False,development,keloid_vs_normal,5,4,True,5,0,False,5,0,False,5,4,True,0,0,False,5,4,True
GSE175866,2,1,False,unknown,fibroblast_state,0,0,False,2,0,False,2,0,False,2,0,False,2,0,False,2,0,False
GSE178562,8,4,False,development,scar_differential,0,0,False,2,2,True,2,2,True,2,4,True,2,6,True,2,6,True
GSE181297,7,7,False,unknown,keloid_vs_normal,4,2,True,4,1,True,4,0,False,4,3,True,0,0,False,4,3,True
GSE181316,8,7,False,development,keloid_vs_normal,4,1,True,4,3,True,4,0,False,4,4,True,0,0,False,4,4,True
GSE185309,17,17,True,lockbox,keloid_vs_normal,0,0,False,9,0,False,9,0,False,9,8,True,0,0,False,9,8,True
GSE188952,12,1,False,unknown,scar_differential,0,0,False,4,3,True,4,5,True,4,0,False,0,0,False,4,8,True
GSE190626,6,6,False,development,keloid_vs_normal,3,3,True,3,0,False,3,0,False,3,3,True,0,0,False,3,3,True
GSE191067,12,12,True,lockbox,keloid_vs_normal,3,6,True,3,3,True,3,0,False,3,9,True,0,0,False,3,9,True
GSE210434,9,9,False,development,scar_differential,0,0,False,3,3,True,3,3,True,3,3,True,3,6,True,3,6,True
GSE212954,11,11,True,lockbox,keloid_vs_normal,7,4,True,7,0,False,7,0,False,7,4,True,0,0,False,7,4,True
GSE232079,14,7,False,development,keloid_vs_normal,0,0,False,10,0,False,10,0,False,10,4,True,0,0,False,10,4,True
GSE237752,6,6,True,lockbox,keloid_vs_normal,3,3,True,3,0,False,3,0,False,3,3,True,0,0,False,3,3,True
GSE245660,5,5,False,development,scar_differential,0,0,False,3,0,False,3,2,True,3,0,False,0,0,False,3,2,True
GSE246562,12,6,False,development,stiffness_response,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,6,6,True
GSE282479,7,7,False,development,keloid_vs_normal,0,0,False,3,0,False,3,0,False,3,4,True,3,4,True,3,4,True
GSE303591,8,2,False,development,keloid_vs_normal,0,0,False,4,0,False,4,0,False,4,4,True,0,0,False,4,4,True
GSE3189,70,1,False,existing,out_of_domain_disease_state,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
GSE32537,169,1,False,existing,fibrosis_binary,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
GSE44270,32,1,False,existing,lesional_status,0,0,False,0,0,False,0,0,False,0,6,False,9,7,True,18,14,True
GSE48149,22,1,False,existing,fibrosis_binary,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
GSE58095,102,1,False,existing,fibrosis_binary,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
GSE7890,19,10,False,existing,keloid_vs_normal,0,0,False,0,5,False,0,0,False,5,5,True,5,5,True,10,9,True
GSE90051,7,7,False,existing,keloid_normal_contrast,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
GSE92566,7,3,False,existing,lesional_status,4,3,True,0,0,False,0,0,False,1,0,False,0,0,False,7,0,False
Sun_Burns,25,1,False,unknown,keloid_vs_normal,17,8,True,0,0,False,0,0,False,17,8,True,0,0,False,17,8,True
