sample_id,accession,patient_id,platform_id,modality,processed_modality,cell_type,specimen_compartment,disease_label,keloid_vs_normal,scar_type,lesional_status,treatment,encoder_task,encoder_response,contrast_type,eval_grain,cohort_role,lockbox,allow_accession_level_grouping,split_group,keloid_binary,keloid_binary_all_profiles,keloid_vs_normal_scar,keloid_vs_pathologic_scar,keloid_vs_unaffected_skin,clean_keloid_binary,fibroblast_keloid_binary,is_tissue_for_primary_skin
GSM194104,GSE7890,33,GPL570,microarray,microarray,fibroblast,primary_fibroblast,keloid,keloid,unknown,unknown,hydrocortisone,keloid_vs_normal,keloid,sample,profile,existing,False,False,microarray|GSE7890|33,keloid,keloid,exclude,exclude,exclude,exclude,exclude,False
GSM194105,GSE7890,50,GPL570,microarray,microarray,fibroblast,primary_fibroblast,keloid,keloid,unknown,unknown,hydrocortisone,keloid_vs_normal,keloid,sample,profile,existing,False,False,microarray|GSE7890|50,keloid,keloid,exclude,exclude,exclude,exclude,exclude,False
GSM194106,GSE7890,145,GPL570,microarray,microarray,fibroblast,primary_fibroblast,keloid,keloid,unknown,unknown,hydrocortisone,keloid_vs_normal,keloid,sample,profile,existing,False,False,microarray|GSE7890|145,keloid,keloid,exclude,exclude,exclude,exclude,exclude,False
GSM194107,GSE7890,261,GPL570,microarray,microarray,fibroblast,primary_fibroblast,keloid,keloid,unknown,unknown,hydrocortisone,keloid_vs_normal,keloid,sample,profile,existing,False,False,microarray|GSE7890|261,keloid,keloid,exclude,exclude,exclude,exclude,exclude,False
GSM194108,GSE7890,124,GPL570,microarray,microarray,fibroblast,primary_fibroblast,keloid,keloid,unknown,unknown,hydrocortisone,keloid_vs_normal,keloid,sample,profile,existing,False,False,microarray|GSE7890|124,keloid,keloid,exclude,exclude,exclude,exclude,exclude,False
GSM194109,GSE7890,145,GPL570,microarray,microarray,fibroblast,primary_fibroblast,keloid,keloid,unknown,unknown,no_hydrocortisone,keloid_vs_normal,keloid,sample,profile,existing,False,False,microarray|GSE7890|145,keloid,keloid,exclude,exclude,exclude,keloid,keloid,False
GSM194110,GSE7890,261,GPL570,microarray,microarray,fibroblast,primary_fibroblast,keloid,keloid,unknown,unknown,no_hydrocortisone,keloid_vs_normal,keloid,sample,profile,existing,False,False,microarray|GSE7890|261,keloid,keloid,exclude,exclude,exclude,keloid,keloid,False
GSM194111,GSE7890,124,GPL570,microarray,microarray,fibroblast,primary_fibroblast,keloid,keloid,unknown,unknown,no_hydrocortisone,keloid_vs_normal,keloid,sample,profile,existing,False,False,microarray|GSE7890|124,keloid,keloid,exclude,exclude,exclude,keloid,keloid,False
GSM194112,GSE7890,33,GPL570,microarray,microarray,fibroblast,primary_fibroblast,keloid,keloid,unknown,unknown,no_hydrocortisone,keloid_vs_normal,keloid,sample,profile,existing,False,False,microarray|GSE7890|33,keloid,keloid,exclude,exclude,exclude,keloid,keloid,False
GSM194113,GSE7890,50,GPL570,microarray,microarray,fibroblast,primary_fibroblast,keloid,keloid,unknown,unknown,no_hydrocortisone,keloid_vs_normal,keloid,sample,profile,existing,False,False,microarray|GSE7890|50,keloid,keloid,exclude,exclude,exclude,keloid,keloid,False
GSM194114,GSE7890,116,GPL570,microarray,microarray,fibroblast,primary_fibroblast,normal_scar,normal,normal_scar,unknown,hydrocortisone,keloid_vs_normal,normal,sample,profile,existing,False,False,microarray|GSE7890|116,non_keloid,non_keloid,exclude,exclude,exclude,exclude,exclude,False
GSM194115,GSE7890,131,GPL570,microarray,microarray,fibroblast,primary_fibroblast,normal_scar,normal,normal_scar,unknown,hydrocortisone,keloid_vs_normal,normal,sample,profile,existing,False,False,microarray|GSE7890|131,non_keloid,non_keloid,exclude,exclude,exclude,exclude,exclude,False
GSM194116,GSE7890,170,GPL570,microarray,microarray,fibroblast,primary_fibroblast,normal_scar,normal,normal_scar,unknown,hydrocortisone,keloid_vs_normal,normal,sample,profile,existing,False,False,microarray|GSE7890|170,non_keloid,non_keloid,exclude,exclude,exclude,exclude,exclude,False
GSM194117,GSE7890,21,GPL570,microarray,microarray,fibroblast,primary_fibroblast,normal_scar,normal,normal_scar,unknown,hydrocortisone,keloid_vs_normal,normal,sample,profile,existing,False,False,microarray|GSE7890|21,non_keloid,non_keloid,exclude,exclude,exclude,exclude,exclude,False
GSM194118,GSE7890,21,GPL570,microarray,microarray,fibroblast,primary_fibroblast,normal_scar,normal,normal_scar,unknown,no_hydrocortisone,keloid_vs_normal,normal,sample,profile,existing,False,False,microarray|GSE7890|21,non_keloid,non_keloid,non_keloid,exclude,exclude,non_keloid,non_keloid,False
GSM194119,GSE7890,170,GPL570,microarray,microarray,fibroblast,primary_fibroblast,normal_scar,normal,normal_scar,unknown,no_hydrocortisone,keloid_vs_normal,normal,sample,profile,existing,False,False,microarray|GSE7890|170,non_keloid,non_keloid,non_keloid,exclude,exclude,non_keloid,non_keloid,False
GSM194120,GSE7890,58,GPL570,microarray,microarray,fibroblast,primary_fibroblast,normal_scar,normal,normal_scar,unknown,no_hydrocortisone,keloid_vs_normal,normal,sample,profile,existing,False,False,microarray|GSE7890|58,non_keloid,non_keloid,non_keloid,exclude,exclude,non_keloid,non_keloid,False
