image_id,image_number,image_pos_x,image_pos_y,image_shape_h,image_shape_w,crop_number,acquisition_id,bc_depth,bc_invalid,bc_valid,bc_highest_count,bc_second_count,condition_id,condition_name,time_point,barcode,concentration,plate_id,bc_plate,bc_x,bc_y,well_name,sampleblock_id,site_id,acquisition_mcd_acid,acquisition_mcd_roiid,slideac_id,site_mcd_panoramaid,slide_id,slideac_name,slide_number,sampleblock_name,cellline,hastelox,mask_filename_cell,mask_filename_cyto,mask_filename_nucleiexp,image_stack_filename_FullStackComp,image_stack_filename_FullStackFiltered
2,2,217,72,318,321,2,1,30.0,97,67,63,1,19,HT-29_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 1, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 0, 'In115': 0}",1.0,173,1,11,B,B11,1,1,11,11,1,1,1,20190619_p173_slide31_ac1_vz,31,p173,HT-29,1,20190619_p173_slide31_ac1_vz_s1_p1_r11_a11_ac_full_l2_x217_y72_cell.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r11_a11_ac_full_l2_x217_y72_cyto.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r11_a11_ac_full_l2_x217_y72_nucleiexp.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r11_a11_ac_full_l2_x217_y72_comp.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r11_a11_ac_full_l2_x217_y72_filtered.tiff
125,125,0,0,289,329,1,39,30.0,86,40,40,0,19,HT-29_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 1, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 0, 'In115': 0}",1.0,173,1,11,B,B11,1,6,2,2,6,1,6,20190620_p173_slide34_ac1_vz,34,p173,HT-29,1,20190620_p173_slide34_ac1_vz_s1_p1_r2_a2_ac_full_l1_x0_y0_cell.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r2_a2_ac_full_l1_x0_y0_cyto.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r2_a2_ac_full_l1_x0_y0_nucleiexp.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r2_a2_ac_full_l1_x0_y0_comp.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r2_a2_ac_full_l1_x0_y0_filtered.tiff
284,284,0,91,279,268,1,118,30.0,90,39,38,1,19,HT-29_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 1, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 0, 'In115': 0}",1.0,173,1,11,B,B11,1,14,31,31,14,4,14,20190708_p173_slide26_ac1_vz,26,p173,HT-29,1,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l1_x0_y91_cell.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l1_x0_y91_cyto.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l1_x0_y91_nucleiexp.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l1_x0_y91_comp.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l1_x0_y91_filtered.tiff
310,310,0,772,237,301,1,133,30.0,87,50,49,1,19,HT-29_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 1, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 0, 'In115': 0}",1.0,173,1,11,B,B11,1,15,78,78,14,5,14,20190708_p173_slide26_ac1_vz,26,p173,HT-29,1,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l1_x0_y772_cell.tiff,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l1_x0_y772_cyto.tiff,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l1_x0_y772_nucleiexp.tiff,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l1_x0_y772_comp.tiff,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l1_x0_y772_filtered.tiff
332,332,0,185,270,278,1,148,30.0,85,53,53,0,19,HT-29_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 1, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 0, 'In115': 0}",1.0,173,1,11,B,B11,1,16,63,63,14,6,14,20190708_p173_slide26_ac1_vz,26,p173,HT-29,1,20190708_p173_slide26_ac1_vz_s1_p6_r63_a63_ac_full_l1_x0_y185_cell.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r63_a63_ac_full_l1_x0_y185_cyto.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r63_a63_ac_full_l1_x0_y185_nucleiexp.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r63_a63_ac_full_l1_x0_y185_comp.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r63_a63_ac_full_l1_x0_y185_filtered.tiff
457,457,0,0,241,300,1,181,30.0,96,47,47,0,19,HT-29_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 1, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 0, 'In115': 0}",1.0,173,1,11,B,B11,1,23,4,4,21,1,21,20190710_p173_slide36_ac1_vz,36,p173,HT-29,1,20190710_p173_slide36_ac1_vz_s1_p1_r4_a4_ac_full_l1_x0_y0_cell.tiff,20190710_p173_slide36_ac1_vz_s1_p1_r4_a4_ac_full_l1_x0_y0_cyto.tiff,20190710_p173_slide36_ac1_vz_s1_p1_r4_a4_ac_full_l1_x0_y0_nucleiexp.tiff,20190710_p173_slide36_ac1_vz_s1_p1_r4_a4_ac_full_l1_x0_y0_comp.tiff,20190710_p173_slide36_ac1_vz_s1_p1_r4_a4_ac_full_l1_x0_y0_filtered.tiff
547,547,0,190,350,299,1,198,30.0,57,32,28,1,19,HT-29_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 1, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 0, 'In115': 0}",1.0,173,1,11,B,B11,1,27,13,13,25,1,25,20190711_p173_slide28_ac1_vz,28,p173,HT-29,1,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y190_cell.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y190_cyto.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y190_nucleiexp.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y190_comp.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y190_filtered.tiff
3,3,0,0,271,261,1,2,30.0,128,46,44,1,77,DLD-1_c0.25_tp72,72.0,"{'Pd102': 1, 'Pd104': 0, 'Pd105': 1, 'Pd106': 1, 'Pd108': 0, 'Pd110': 0, 'In113': 0, 'In115': 1}",0.25,173,1,10,E,E10,1,1,13,13,1,1,1,20190619_p173_slide31_ac1_vz,31,p173,DLD-1,1,20190619_p173_slide31_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y0_cell.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y0_cyto.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y0_nucleiexp.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y0_comp.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y0_filtered.tiff
126,126,0,0,290,278,1,40,30.0,126,37,36,1,77,DLD-1_c0.25_tp72,72.0,"{'Pd102': 1, 'Pd104': 0, 'Pd105': 1, 'Pd106': 1, 'Pd108': 0, 'Pd110': 0, 'In113': 0, 'In115': 1}",0.25,173,1,10,E,E10,1,6,3,3,6,1,6,20190620_p173_slide34_ac1_vz,34,p173,DLD-1,1,20190620_p173_slide34_ac1_vz_s1_p1_r3_a3_ac_full_l1_x0_y0_cell.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r3_a3_ac_full_l1_x0_y0_cyto.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r3_a3_ac_full_l1_x0_y0_nucleiexp.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r3_a3_ac_full_l1_x0_y0_comp.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r3_a3_ac_full_l1_x0_y0_filtered.tiff
334,334,371,303,182,160,3,148,30.0,24,20,20,0,77,DLD-1_c0.25_tp72,72.0,"{'Pd102': 1, 'Pd104': 0, 'Pd105': 1, 'Pd106': 1, 'Pd108': 0, 'Pd110': 0, 'In113': 0, 'In115': 1}",0.25,173,1,10,E,E10,1,16,63,63,14,6,14,20190708_p173_slide26_ac1_vz,26,p173,DLD-1,1,20190708_p173_slide26_ac1_vz_s1_p6_r63_a63_ac_full_l3_x371_y303_cell.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r63_a63_ac_full_l3_x371_y303_cyto.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r63_a63_ac_full_l3_x371_y303_nucleiexp.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r63_a63_ac_full_l3_x371_y303_comp.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r63_a63_ac_full_l3_x371_y303_filtered.tiff
