path,method,compressed_size,uncompressed_size,local_offset
cell_obs.csv,8,1585046,5974082,0
cell_var.csv,8,4461,31490,1585116
cell_X.csv,8,535937845,1184170978,1589647
cyto_obs.csv,8,1597028,6119404,537527560
cyto_var.csv,8,1689,5697,539124658
cyto_X.csv,8,102654944,221524968,539126417
image_meta.csv,8,32868,320671,641781429
images/,0,0,0,641814369
images/20190709_p176_slide11_ac1_vz_s1_p1_r7_a7_ac_full_l32768_x0_y0_comp.tiff,8,113357,1203632,641814434
images/20190620_p173_slide19_ac1_vz_s1_p1_r22_a22_ac_full_l13_x747_y683_comp.tiff,8,1825285,13894982,641927927
images/20190619_p176_slide20_ac1_vz_s1_p1_r6_a6_ac_full_l22_x1024_y1436_comp.tiff,8,2020405,17444582,643753351
images/20190709_p176_slide11_ac1_vz_s1_p1_r15_a15_ac_full_l25_x1167_y348_comp.tiff,8,1395029,14198228,645773895
images/20190625_p173_slide10_ac1_vz_s1_p1_r18_a18_ac_full_l8_x588_y600_comp.tiff,8,709417,5086772,647169064
images/20190708_p173_slide26_ac1_vz_s1_p6_r35_a35_ac_full_l1_x0_y0_filtered.tiff,8,604969,5687756,647878619
images/20190619_p176_slide20_ac1_vz_s1_p1_r6_a6_ac_full_l3_x82_y1305_filtered.tiff,8,1400222,12562148,648483726
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l5_x295_y1063_filtered.tiff,8,1489256,17981306,649884088
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l26_x1220_y1328_comp.tiff,8,574225,6527828,651373485
images/20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l3_x389_y144_filtered.tiff,8,1507355,12716882,651947849
images/20190620_p173_slide34_ac1_vz_s1_p1_r3_a3_ac_full_l1_x0_y0_comp.tiff,8,918804,8230412,653455346
images/20190715_p173_slide16_ac1_vz_s1_p1_r8_a8_ac_full_l2_x80_y373_filtered.tiff,8,133187,1086127,654374282
images/20190715_p176_slide30_ac1_vz_s1_p1_r16_a16_ac_full_l10_x1082_y1420_filtered.tiff,8,64586,560928,654507608
images/20190621_p173_slide4_ac1_vz_s1_p1_r11_a11_ac_full_l1_x0_y0_filtered.tiff,8,1093535,8542328,654572339
images/20190709_p176_slide11_ac1_vz_s1_p1_r15_a15_ac_full_l4_x209_y1309_filtered.tiff,8,1388442,15125204,655666011
images/20190620_p173_slide19_ac1_vz_s1_p1_r22_a22_ac_full_l2_x5_y0_filtered.tiff,8,1253114,10129856,657054596
images/20190710_p176_slide8_ac1_vz_s1_p1_r14_a14_ac_full_l7_x599_y1328_comp.tiff,8,1045024,9831812,658307848
images/20190620_p173_slide19_ac1_vz_s1_p1_r22_a22_ac_full_l3_x166_y1098_filtered.tiff,8,92922,1020643,659353010
images/20190625_p173_slide10_ac1_vz_s1_p1_r17_a17_ac_full_l8_x649_y0_comp.tiff,8,1900310,18171332,659446075
images/20190709_p176_slide11_ac1_vz_s1_p1_r15_a15_ac_full_l3_x211_y313_comp.tiff,8,642283,6585968,661346521
images/20190715_p173_slide16_ac1_vz_s1_p1_r3_a3_ac_full_l32768_x0_y0_comp.tiff,8,291724,3153464,661988942
images/20190619_p176_slide43_ac1_vz_s1_p1_r1_a1_ac_full_l1_x0_y0_filtered.tiff,8,1041368,8082512,662280802
images/20190708_p173_slide26_ac1_vz_s1_p4_r15_a15_ac_full_l2_x0_y0_comp.tiff,8,956781,9389132,663322306
images/20190711_p173_slide28_ac1_vz_s1_p1_r5_a5_ac_full_l1_x0_y8_comp.tiff,8,639866,5289548,664279221
images/20190621_p173_slide13_ac1_vz_s1_p1_r10_a10_ac_full_l1_x0_y0_filtered.tiff,8,1112988,8467562,664919219
images/20190708_p176_slide33_ac1_vz_s1_p1_r6_a6_ac_full_l1_x0_y0_filtered.tiff,8,1894782,14604596,666032345
images/20190619_p176_slide20_ac1_vz_s1_p1_r6_a6_ac_full_l19_x919_y91_comp.tiff,8,1076989,10846916,667927263
images/20190710_p176_slide8_ac1_vz_s1_p1_r7_a7_ac_full_l1_x0_y0_filtered.tiff,8,1093558,9156368,669004388
images/20190620_p173_slide19_ac1_vz_s1_p1_r22_a22_ac_full_l8_x391_y60_filtered.tiff,8,1026155,7106372,670098081
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l42_x1930_y1392_comp.tiff,8,141525,1463732,671124377
images/20190715_p173_slide22_ac1_vz_s1_p1_r25_a25_ac_full_l1_x1_y0_comp.tiff,8,499010,4549028,671266041
images/20190625_p173_slide10_ac1_vz_s1_p1_r18_a18_ac_full_l6_x386_y63_filtered.tiff,8,1306167,8900348,671765185
images/20190620_p176_slide27_ac1_vz_s1_p1_r18_a18_ac_full_l2_x48_y131_comp.tiff,8,949072,8122292,673071493
images/20190709_p176_slide16_ac1_vz_s1_p1_r7_a7_ac_full_l26_x1333_y0_comp.tiff,8,555380,5980292,674020702
images/20190620_p173_slide19_ac1_vz_s1_p1_r2_a2_ac_full_l1_x0_y0_filtered.tiff,8,1130233,6972650,674576218
images/20190620_p176_slide27_ac1_vz_s1_p1_r9_a9_ac_full_l32768_x0_y0_filtered.tiff,8,274365,3256484,675706587
images/20190621_p173_slide13_ac1_vz_s1_p1_r17_a17_ac_full_l2_x0_y308_comp.tiff,8,1832605,14269526,675981092
images/20190620_p173_slide19_ac1_vz_s1_p1_r22_a22_ac_full_l15_x932_y759_comp.tiff,8,1367074,10425554,677813833
images/20190620_p173_slide19_ac1_vz_s1_p1_r9_a9_ac_full_l4_x311_y257_filtered.tiff,8,1920189,14843276,679181046
images/20190708_p173_slide26_ac1_vz_s1_p4_r23_a23_ac_full_l1_x0_y0_comp.tiff,8,351433,3478130,681101375
images/20190709_p176_slide11_ac1_vz_s1_p1_r15_a15_ac_full_l28_x1386_y985_filtered.tiff,8,1837376,19393292,681452942
images/20190619_p173_slide31_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y0_filtered.tiff,8,776396,7221734,683290462
images/20190619_p173_slide8_ac1_vz_s1_p1_r6_a6_ac_full_l10_x323_y1211_filtered.tiff,8,2316767,19523240,684066996
images/20190708_p173_slide39_ac1_vz_s1_p1_r7_a7_ac_full_l1_x0_y0_comp.tiff,8,700050,4957232,686383904
