accession,feature_set,model,norm,sample_macro,donor_macro,primary_macro,n_donors,auroc
E-MTAB-4945,composition_only,linear_svm,none,0.5238095238095237,0.898989898989899,0.898989898989899,10,0.6956521739130435
E-MTAB-4945,composition_only,linear_svm,train_accession_zscore,0.49760765550239233,0.898989898989899,0.898989898989899,10,0.6894409937888198
E-MTAB-4945,composition_only,linear_svm,train_reference_quantile,0.6590909090909092,0.7619047619047619,0.7619047619047619,10,0.5962732919254659
E-MTAB-4945,composition_only,linear_svm,train_combat_lite,0.6703296703296704,0.696969696969697,0.696969696969697,10,0.7888198757763975
E-MTAB-4945,composition_only,ridge_logreg,none,0.5238095238095237,0.898989898989899,0.898989898989899,10,0.6894409937888198
E-MTAB-4945,composition_only,ridge_logreg,train_accession_zscore,0.49760765550239233,0.898989898989899,0.898989898989899,10,0.6645962732919255
E-MTAB-4945,composition_only,ridge_logreg,train_reference_quantile,0.6306429548563611,0.7619047619047619,0.7619047619047619,10,0.6211180124223603
E-MTAB-4945,composition_only,ridge_logreg,train_combat_lite,0.6122209165687427,0.7916666666666667,0.7916666666666667,10,0.7142857142857143
E-MTAB-4945,composition_only,elastic_net_logreg,none,0.5238095238095237,0.898989898989899,0.898989898989899,10,0.6894409937888198
E-MTAB-4945,composition_only,elastic_net_logreg,train_accession_zscore,0.49760765550239233,0.898989898989899,0.898989898989899,10,0.6645962732919255
E-MTAB-4945,composition_only,elastic_net_logreg,train_reference_quantile,0.6306429548563611,0.7619047619047619,0.7619047619047619,10,0.6211180124223603
E-MTAB-4945,composition_only,elastic_net_logreg,train_combat_lite,0.6122209165687427,0.7916666666666667,0.7916666666666667,10,0.7142857142857143
E-MTAB-4945,rank_programs_only,linear_svm,none,0.5485636114911081,0.8901098901098901,0.8901098901098901,10,0.7142857142857143
E-MTAB-4945,rank_programs_only,linear_svm,train_accession_zscore,0.576379974326059,0.8901098901098901,0.8901098901098901,10,0.6521739130434783
E-MTAB-4945,rank_programs_only,linear_svm,train_reference_quantile,0.4409937888198757,0.375,0.375,10,0.5590062111801242
E-MTAB-4945,rank_programs_only,linear_svm,train_combat_lite,0.576379974326059,0.696969696969697,0.696969696969697,10,0.6645962732919254
E-MTAB-4945,rank_programs_only,ridge_logreg,none,0.5238095238095238,0.7619047619047619,0.7619047619047619,10,0.6894409937888198
E-MTAB-4945,rank_programs_only,ridge_logreg,train_accession_zscore,0.5238095238095238,0.7619047619047619,0.7619047619047619,10,0.6832298136645962
E-MTAB-4945,rank_programs_only,ridge_logreg,train_reference_quantile,0.48863636363636365,0.375,0.375,10,0.577639751552795
E-MTAB-4945,rank_programs_only,ridge_logreg,train_combat_lite,0.576379974326059,0.7916666666666667,0.7916666666666667,10,0.670807453416149
E-MTAB-4945,rank_programs_only,elastic_net_logreg,none,0.5238095238095238,0.7619047619047619,0.7619047619047619,10,0.6956521739130435
E-MTAB-4945,rank_programs_only,elastic_net_logreg,train_accession_zscore,0.5238095238095238,0.7619047619047619,0.7619047619047619,10,0.6894409937888198
E-MTAB-4945,rank_programs_only,elastic_net_logreg,train_reference_quantile,0.5341614906832298,0.375,0.375,10,0.5776397515527951
E-MTAB-4945,rank_programs_only,elastic_net_logreg,train_combat_lite,0.55,0.8901098901098901,0.8901098901098901,10,0.670807453416149
E-MTAB-4945,fibrosis_only,linear_svm,none,0.5581014729950899,0.7619047619047619,0.7619047619047619,10,0.7826086956521741
E-MTAB-4945,fibrosis_only,linear_svm,train_accession_zscore,0.5485636114911081,0.7619047619047619,0.7619047619047619,10,0.7453416149068323
E-MTAB-4945,fibrosis_only,linear_svm,train_reference_quantile,0.5238095238095238,0.4949494949494949,0.4949494949494949,10,0.5900621118012422
E-MTAB-4945,fibrosis_only,linear_svm,train_combat_lite,0.4993581514762516,0.7916666666666667,0.7916666666666667,10,0.6894409937888198
E-MTAB-4945,fibrosis_only,ridge_logreg,none,0.5238095238095238,0.7619047619047619,0.7619047619047619,10,0.7080745341614907
E-MTAB-4945,fibrosis_only,ridge_logreg,train_accession_zscore,0.5238095238095238,0.7619047619047619,0.7619047619047619,10,0.6956521739130435
E-MTAB-4945,fibrosis_only,ridge_logreg,train_reference_quantile,0.5238095238095238,0.4949494949494949,0.4949494949494949,10,0.5838509316770186
E-MTAB-4945,fibrosis_only,ridge_logreg,train_combat_lite,0.4993581514762516,0.8901098901098901,0.8901098901098901,10,0.6459627329192545
E-MTAB-4945,fibrosis_only,elastic_net_logreg,none,0.5238095238095238,0.7619047619047619,0.7619047619047619,10,0.7391304347826086
