accession,feature_set,model,norm,primary_macro,auroc,n_donors
E-MTAB-4945,composition_only,linear_svm,none,0.898989898989899,0.670807453416149,10
E-MTAB-4945,composition_only,linear_svm,train_accession_zscore,0.8,0.6211180124223603,10
E-MTAB-4945,composition_only,linear_svm,train_reference_quantile,0.7619047619047619,0.6521739130434783,10
E-MTAB-4945,composition_only,linear_svm,train_combat_lite,0.7916666666666667,0.6459627329192547,10
E-MTAB-4945,composition_only,ridge_logreg,none,0.898989898989899,0.6459627329192545,10
E-MTAB-4945,composition_only,ridge_logreg,train_accession_zscore,0.8,0.6086956521739131,10
E-MTAB-4945,composition_only,ridge_logreg,train_reference_quantile,0.7619047619047619,0.6459627329192547,10
E-MTAB-4945,composition_only,ridge_logreg,train_combat_lite,0.7916666666666667,0.6211180124223603,10
E-MTAB-4945,rank_programs_only,linear_svm,none,0.8901098901098901,0.7204968944099379,10
E-MTAB-4945,rank_programs_only,linear_svm,train_accession_zscore,0.7619047619047619,0.7329192546583851,10
E-MTAB-4945,rank_programs_only,linear_svm,train_reference_quantile,0.6703296703296704,0.577639751552795,10
E-MTAB-4945,rank_programs_only,linear_svm,train_combat_lite,0.7916666666666667,0.7204968944099379,10
E-MTAB-4945,rank_programs_only,ridge_logreg,none,0.7619047619047619,0.6832298136645962,10
E-MTAB-4945,rank_programs_only,ridge_logreg,train_accession_zscore,0.7619047619047619,0.6832298136645962,10
E-MTAB-4945,rank_programs_only,ridge_logreg,train_reference_quantile,0.6703296703296704,0.5900621118012422,10
E-MTAB-4945,rank_programs_only,ridge_logreg,train_combat_lite,0.7619047619047619,0.6832298136645962,10
E-MTAB-4945,fibrosis_only,linear_svm,none,0.6703296703296704,0.7950310559006211,10
E-MTAB-4945,fibrosis_only,linear_svm,train_accession_zscore,0.7619047619047619,0.7701863354037267,10
E-MTAB-4945,fibrosis_only,linear_svm,train_reference_quantile,0.4949494949494949,0.6024844720496895,10
E-MTAB-4945,fibrosis_only,linear_svm,train_combat_lite,0.7916666666666667,0.7142857142857143,10
E-MTAB-4945,fibrosis_only,ridge_logreg,none,0.7619047619047619,0.6894409937888198,10
E-MTAB-4945,fibrosis_only,ridge_logreg,train_accession_zscore,0.7619047619047619,0.7018633540372671,10
E-MTAB-4945,fibrosis_only,ridge_logreg,train_reference_quantile,0.4949494949494949,0.6149068322981366,10
E-MTAB-4945,fibrosis_only,ridge_logreg,train_combat_lite,0.7916666666666667,0.6894409937888198,10
E-MTAB-4945,fused_multiview,linear_svm,none,0.898989898989899,0.6459627329192547,10
E-MTAB-4945,fused_multiview,linear_svm,train_accession_zscore,0.7916666666666667,0.6335403726708074,10
E-MTAB-4945,fused_multiview,linear_svm,train_reference_quantile,0.5833333333333333,0.5031055900621118,10
E-MTAB-4945,fused_multiview,linear_svm,train_combat_lite,0.696969696969697,0.6521739130434783,10
E-MTAB-4945,fused_multiview,ridge_logreg,none,0.898989898989899,0.5900621118012422,10
E-MTAB-4945,fused_multiview,ridge_logreg,train_accession_zscore,0.7619047619047619,0.6832298136645962,10
E-MTAB-4945,fused_multiview,ridge_logreg,train_reference_quantile,0.5238095238095238,0.6024844720496894,10
E-MTAB-4945,fused_multiview,ridge_logreg,train_combat_lite,0.696969696969697,0.6211180124223603,10
E-MTAB-4945,low_i2_core_only,linear_svm,none,0.6703296703296704,0.6335403726708075,10
E-MTAB-4945,low_i2_core_only,linear_svm,train_accession_zscore,0.375,0.49068322981366463,10
E-MTAB-4945,low_i2_core_only,linear_svm,train_reference_quantile,0.5833333333333333,0.4037267080745342,10
E-MTAB-4945,low_i2_core_only,linear_svm,train_combat_lite,0.375,0.49068322981366463,10
E-MTAB-4945,low_i2_core_only,ridge_logreg,none,0.696969696969697,0.6894409937888198,10
E-MTAB-4945,low_i2_core_only,ridge_logreg,train_accession_zscore,0.4949494949494949,0.6645962732919255,10
E-MTAB-4945,low_i2_core_only,ridge_logreg,train_reference_quantile,0.5833333333333333,0.5093167701863354,10
E-MTAB-4945,low_i2_core_only,ridge_logreg,train_combat_lite,0.696969696969697,0.6459627329192547,10
E-MTAB-4945,published_markers_only,linear_svm,none,0.696969696969697,0.6645962732919255,10
E-MTAB-4945,published_markers_only,linear_svm,train_accession_zscore,0.5833333333333333,0.7763975155279502,10
E-MTAB-4945,published_markers_only,linear_svm,train_reference_quantile,0.4949494949494949,0.5465838509316769,10
E-MTAB-4945,published_markers_only,linear_svm,train_combat_lite,0.898989898989899,0.7080745341614907,10
E-MTAB-4945,published_markers_only,ridge_logreg,none,0.8,0.7142857142857142,10
E-MTAB-4945,published_markers_only,ridge_logreg,train_accession_zscore,0.8,0.7329192546583851,10
E-MTAB-4945,published_markers_only,ridge_logreg,train_reference_quantile,0.696969696969697,0.6894409937888198,10
E-MTAB-4945,published_markers_only,ridge_logreg,train_combat_lite,0.8,0.7267080745341614,10
E-MTAB-4945,scar_discriminative,linear_svm,none,0.6703296703296704,0.6335403726708074,10
E-MTAB-4945,scar_discriminative,linear_svm,train_accession_zscore,0.7619047619047619,0.6832298136645962,10
E-MTAB-4945,scar_discriminative,linear_svm,train_reference_quantile,0.2857142857142857,0.5279503105590062,10
E-MTAB-4945,scar_discriminative,linear_svm,train_combat_lite,0.5833333333333333,0.6894409937888198,10
E-MTAB-4945,scar_discriminative,ridge_logreg,none,0.6703296703296704,0.6086956521739131,10
E-MTAB-4945,scar_discriminative,ridge_logreg,train_accession_zscore,0.7619047619047619,0.6894409937888198,10
E-MTAB-4945,scar_discriminative,ridge_logreg,train_reference_quantile,0.6000000000000001,0.6024844720496895,10
E-MTAB-4945,scar_discriminative,ridge_logreg,train_combat_lite,0.696969696969697,0.6335403726708074,10
GSE158395,composition_only,linear_svm,none,0.8831168831168831,0.9722222222222222,9
GSE158395,composition_only,linear_svm,train_accession_zscore,0.8831168831168831,1.0,9
GSE158395,composition_only,linear_svm,train_reference_quantile,0.6666666666666666,1.0,9
GSE158395,composition_only,linear_svm,train_combat_lite,0.55,0.8888888888888888,9
GSE158395,composition_only,ridge_logreg,none,0.8831168831168831,0.9722222222222222,9
GSE158395,composition_only,ridge_logreg,train_accession_zscore,0.775,1.0,9
GSE158395,composition_only,ridge_logreg,train_reference_quantile,0.6666666666666666,1.0,9
GSE158395,composition_only,ridge_logreg,train_combat_lite,0.55,0.8888888888888888,9
GSE158395,rank_programs_only,linear_svm,none,1.0,1.0,9
GSE158395,rank_programs_only,linear_svm,train_accession_zscore,1.0,1.0,9
GSE158395,rank_programs_only,linear_svm,train_reference_quantile,0.55,1.0,9
GSE158395,rank_programs_only,linear_svm,train_combat_lite,1.0,0.9722222222222222,9
GSE158395,rank_programs_only,ridge_logreg,none,1.0,1.0,9
GSE158395,rank_programs_only,ridge_logreg,train_accession_zscore,1.0,1.0,9
GSE158395,rank_programs_only,ridge_logreg,train_reference_quantile,0.55,1.0,9
GSE158395,rank_programs_only,ridge_logreg,train_combat_lite,0.8831168831168831,1.0,9
GSE158395,fibrosis_only,linear_svm,none,1.0,1.0,9
GSE158395,fibrosis_only,linear_svm,train_accession_zscore,1.0,1.0,9
