feature_set,model,normalization_mode,calibration,accession,primary,auroc,n_donors
fibrosis_only,linear_svm,train_accession_zscore,none,E-MTAB-4945,0.7619047619047619,0.7701863354037267,10
fibrosis_only,linear_svm,train_accession_zscore,none,GSE158395,1.0,1.0,9
fibrosis_only,linear_svm,train_accession_zscore,none,GSE173900,0.41558441558441556,0.35,9
fibrosis_only,linear_svm,train_accession_zscore,none,GSE181297,0.8285714285714285,1.0,6
fibrosis_only,linear_svm,train_accession_zscore,none,GSE181316,1.0,1.0,4
fibrosis_only,linear_svm,train_accession_zscore,none,GSE190626,1.0,1.0,6
fibrosis_only,linear_svm,train_accession_zscore,none,GSE92566,0.25,1.0,3
fibrosis_only,linear_svm,train_accession_zscore,none,Sun_Burns,0.9131944444444444,0.9779411764705882,1
rank_programs_only,ridge_logreg,train_combat_lite,none,E-MTAB-4945,0.7619047619047619,0.6832298136645962,10
rank_programs_only,ridge_logreg,train_combat_lite,none,GSE158395,0.8831168831168831,1.0,9
rank_programs_only,ridge_logreg,train_combat_lite,none,GSE173900,0.325,0.25,9
rank_programs_only,ridge_logreg,train_combat_lite,none,GSE181297,0.6666666666666666,1.0,6
rank_programs_only,ridge_logreg,train_combat_lite,none,GSE181316,1.0,1.0,4
rank_programs_only,ridge_logreg,train_combat_lite,none,GSE190626,1.0,1.0,6
rank_programs_only,ridge_logreg,train_combat_lite,none,GSE92566,0.25,1.0,3
rank_programs_only,ridge_logreg,train_combat_lite,none,Sun_Burns,0.8333333333333334,0.9558823529411764,1
composition_only,linear_svm,none,none,E-MTAB-4945,0.898989898989899,0.670807453416149,10
composition_only,linear_svm,none,none,GSE158395,0.8831168831168831,0.9722222222222222,9
composition_only,linear_svm,none,none,GSE173900,0.41558441558441556,0.3,9
composition_only,linear_svm,none,none,GSE181297,0.8285714285714285,1.0,6
composition_only,linear_svm,none,none,GSE181316,1.0,1.0,4
composition_only,linear_svm,none,none,GSE190626,1.0,1.0,6
composition_only,linear_svm,none,none,GSE92566,0.0,0.6666666666666667,3
composition_only,linear_svm,none,none,Sun_Burns,0.7564935064935066,0.9044117647058824,1
fused_multiview,ridge_logreg,train_reference_quantile,platt_inner_oof,E-MTAB-4945,0.5238095238095238,0.6024844720496894,10
fused_multiview,ridge_logreg,train_reference_quantile,platt_inner_oof,GSE158395,0.8831168831168831,1.0,9
fused_multiview,ridge_logreg,train_reference_quantile,platt_inner_oof,GSE173900,0.2222222222222222,0.2,9
fused_multiview,ridge_logreg,train_reference_quantile,platt_inner_oof,GSE181297,0.6666666666666666,0.875,6
fused_multiview,ridge_logreg,train_reference_quantile,platt_inner_oof,GSE181316,1.0,1.0,4
fused_multiview,ridge_logreg,train_reference_quantile,platt_inner_oof,GSE190626,0.8285714285714285,1.0,6
fused_multiview,ridge_logreg,train_reference_quantile,platt_inner_oof,GSE92566,0.25,1.0,3
fused_multiview,ridge_logreg,train_reference_quantile,platt_inner_oof,Sun_Burns,0.7564935064935066,0.8970588235294117,1
