task,split_name,feature_set,model,n_train,n_test,train_label_counts,test_label_counts,accuracy,weighted_f1,balanced_accuracy,macro_f1,auroc,confusion_matrix,labels,error
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,majority,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.36,0.19058823529411764,0.5,0.2647058823529412,0.5,"[[0, 16], [0, 9]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,stratified_random,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.6,0.6077922077922078,0.6145833333333333,0.5941558441558441,0.6145833333333333,"[[9, 7], [3, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,elastic_net_logreg,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.84,0.8431168831168832,0.875,0.8376623376623377,0.875,"[[12, 4], [0, 9]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,linear_svm,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.8,0.8039408866995074,0.8194444444444444,0.7947454844006567,0.8472222222222222,"[[12, 4], [1, 8]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,random_forest,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.52,0.47200000000000003,0.625,0.5,0.8819444444444444,"[[4, 12], [0, 9]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,hist_gradient_boosting,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.76,0.7623076923076922,0.8125,0.7596153846153846,0.8541666666666666,"[[10, 6], [0, 9]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,knn,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.44,0.43282051282051287,0.4895833333333333,0.4391025641025641,0.5208333333333333,"[[5, 11], [3, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,small_mlp,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.68,0.6862337662337663,0.7013888888888888,0.6753246753246753,0.8263888888888888,"[[10, 6], [2, 7]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes,majority,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.36,0.19058823529411764,0.5,0.2647058823529412,0.5,"[[0, 16], [0, 9]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes,stratified_random,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.6,0.6077922077922078,0.6145833333333333,0.5941558441558441,0.6145833333333333,"[[9, 7], [3, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes,elastic_net_logreg,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.84,0.84,0.8263888888888888,0.8263888888888888,0.8402777777777778,"[[14, 2], [2, 7]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes,linear_svm,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.76,0.76,0.7395833333333333,0.7395833333333333,0.7638888888888888,"[[13, 3], [3, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes,random_forest,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.68,0.6862337662337663,0.7013888888888888,0.6753246753246753,0.7708333333333334,"[[10, 6], [2, 7]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes,hist_gradient_boosting,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.72,0.7255172413793103,0.7326388888888888,0.7126436781609196,0.8125,"[[11, 5], [2, 7]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,shared_genes,knn,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.72,0.656037296037296,0.6111111111111112,0.592074592074592,0.6111111111111112,"[[16, 0], [7, 2]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,modules_only,majority,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.36,0.19058823529411764,0.5,0.2647058823529412,0.5,"[[0, 16], [0, 9]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,modules_only,stratified_random,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.6,0.6077922077922078,0.6145833333333333,0.5941558441558441,0.6145833333333333,"[[9, 7], [3, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,modules_only,elastic_net_logreg,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.6,0.6038461538461539,0.6388888888888888,0.5993589743589745,0.7152777777777778,"[[8, 8], [2, 7]]","['keloid', 'non_keloid']",
