task,split_name,feature_set,normalization_mode,model,n_train,n_test,train_label_counts,test_label_counts,accuracy,weighted_f1,balanced_accuracy,macro_f1,auroc,confusion_matrix,labels
keloid_binary,leave_accession_out_E-MTAB-2509,profibrotic_module_only,none,majority,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.6666666667000001,0.5333333333,0.5,0.4,0.5,"[[0, 9], [0, 18]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,profibrotic_module_only,none,stratified_random,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.40740740740000003,0.4242424242,0.3888888889,0.3863636364,0.3888888889,"[[3, 6], [10, 8]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,profibrotic_module_only,none,elastic_net_logreg,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.7037037037,0.7121212121,0.7222222222,0.6931818182,0.7777777778,"[[7, 2], [6, 12]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,profibrotic_module_only,none,linear_svm,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.7037037037,0.7121212121,0.7222222222,0.6931818182,0.7777777778,"[[7, 2], [6, 12]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,profibrotic_module_only,none,random_forest,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.6296296296,0.6401515152,0.6388888889000001,0.6164772727,0.700617284,"[[6, 3], [7, 11]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,profibrotic_module_only,none,hist_gradient_boosting,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.7407407407000001,0.7474747475,0.75,0.7272727273,0.7098765432,"[[7, 2], [5, 13]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,profibrotic_module_only,none,knn,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.6296296296,0.6388888889000001,0.6666666667000001,0.625,0.6944444444,"[[7, 2], [8, 10]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,profibrotic_module_only,none,small_mlp,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.7037037037,0.7121212121,0.7222222222,0.6931818182,0.7777777778,"[[7, 2], [6, 12]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_plus_expanded,none,majority,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.6666666667000001,0.5333333333,0.5,0.4,0.5,"[[0, 9], [0, 18]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_plus_expanded,none,stratified_random,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.40740740740000003,0.4242424242,0.3888888889,0.3863636364,0.3888888889,"[[3, 6], [10, 8]]","['keloid', 'non_keloid']"
