task,split_name,feature_set,normalization_mode,model,n_train,n_test,train_label_counts,test_label_counts,accuracy,weighted_f1,balanced_accuracy,macro_f1,auroc,confusion_matrix,labels
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_plus_expanded,quantile_rank,majority,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.6666666666666666,0.5333333333333333,0.5,0.4,0.5,"[[0, 9], [0, 18]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_plus_expanded,quantile_rank,stratified_random,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.4074074074074074,0.4242424242424242,0.38888888888888884,0.38636363636363635,0.3888888888888889,"[[3, 6], [10, 8]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_plus_expanded,quantile_rank,elastic_net_logreg,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.7407407407407407,0.7474747474747474,0.75,0.7272727272727273,0.771604938271605,"[[7, 2], [5, 13]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_plus_expanded,quantile_rank,linear_svm,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.7407407407407407,0.7474747474747474,0.75,0.7272727272727273,0.7777777777777779,"[[7, 2], [5, 13]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_plus_expanded,quantile_rank,random_forest,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.6666666666666666,0.6461538461538462,0.5833333333333334,0.5846153846153846,0.7469135802469136,"[[3, 6], [3, 15]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_plus_expanded,quantile_rank,hist_gradient_boosting,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.6296296296296297,0.6162280701754386,0.5555555555555556,0.555921052631579,0.5555555555555555,"[[3, 6], [4, 14]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_plus_expanded,quantile_rank,knn,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.6666666666666666,0.6461538461538462,0.5833333333333334,0.5846153846153846,0.6296296296296298,"[[3, 6], [3, 15]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_plus_expanded,quantile_rank,small_mlp,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.7777777777777778,0.7840909090909092,0.8055555555555556,0.7698863636363636,0.7839506172839505,"[[8, 1], [5, 13]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_only,quantile_rank,majority,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.6666666666666666,0.5333333333333333,0.5,0.4,0.5,"[[0, 9], [0, 18]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_only,quantile_rank,stratified_random,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.4074074074074074,0.4242424242424242,0.38888888888888884,0.38636363636363635,0.3888888888888889,"[[3, 6], [10, 8]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_only,quantile_rank,elastic_net_logreg,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.7407407407407407,0.7474747474747474,0.75,0.7272727272727273,0.771604938271605,"[[7, 2], [5, 13]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_only,quantile_rank,linear_svm,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.7407407407407407,0.7474747474747474,0.75,0.7272727272727273,0.7777777777777779,"[[7, 2], [5, 13]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_only,quantile_rank,random_forest,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.7037037037037037,0.6929824561403508,0.6388888888888888,0.6447368421052632,0.7901234567901234,"[[4, 5], [3, 15]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_only,quantile_rank,hist_gradient_boosting,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.5925925925925926,0.5675213675213675,0.5,0.49230769230769234,0.5925925925925927,"[[2, 7], [4, 14]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_only,quantile_rank,knn,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.6666666666666666,0.6461538461538462,0.5833333333333334,0.5846153846153846,0.6574074074074074,"[[3, 6], [3, 15]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_only,quantile_rank,small_mlp,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.6666666666666666,0.6731034482758621,0.7222222222222222,0.6648275862068966,0.6790123456790124,"[[8, 1], [8, 10]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,published_markers_only,quantile_rank,majority,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.6666666666666666,0.5333333333333333,0.5,0.4,0.5,"[[0, 9], [0, 18]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,published_markers_only,quantile_rank,stratified_random,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.4074074074074074,0.4242424242424242,0.38888888888888884,0.38636363636363635,0.3888888888888889,"[[3, 6], [10, 8]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,published_markers_only,quantile_rank,elastic_net_logreg,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.5925925925925926,0.6031746031746031,0.5833333333333334,0.5714285714285714,0.6790123456790123,"[[5, 4], [7, 11]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,published_markers_only,quantile_rank,linear_svm,231,27,"{'non_keloid': 140, 'keloid': 91}","{'non_keloid': 18, 'keloid': 9}",0.6296296296296297,0.6372549019607844,0.6111111111111112,0.6029411764705883,0.691358024691358,"[[5, 4], [6, 12]]","['keloid', 'non_keloid']"
