endpoint,stage,split_name,accession,selection,inner_score,inner_lower_tail,threshold,selective_confidence_threshold,normalization_mode,calibration,feature_set,model,weight_mode,adaptation,n_train,n_test,n_test_donors,accuracy,weighted_f1,balanced_accuracy,macro_f1,auroc,confusion_matrix,labels,donor_weighted_f1,donor_macro_f1,donor_auroc
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_E-MTAB-4945,E-MTAB-4945,inner_equal_accession_profile,0.8184758297258298,0.5541767676767677,0.5143368017443428,0.525,none,none,rank_programs_only,linear_svm,accession_donor,none,52,30,10,0.6333333333333333,0.6528955768353853,0.562111801242236,0.5485636114911081,0.7142857142857143,"[[16, 7], [4, 3]]","['keloid', 'non_keloid']",0.8967032967032967,0.8901098901098901,0.9583333333333334
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_GSE173900,GSE173900,inner_equal_accession_profile,0.9020402410827943,0.7591095004286493,0.3644887513414232,0.675,none,none,fibrosis_only,linear_svm,accession_donor,none,69,9,9,0.3333333333333333,0.2777777777777778,0.3,0.25,0.30000000000000004,"[[3, 2], [4, 0]]","['keloid', 'non_keloid']",0.2777777777777778,0.25,0.30000000000000004
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_GSE181297,GSE181297,inner_equal_accession_profile,0.6913194444444444,0.5688888888888889,0.5,0.6,none,none,composition_only,linear_svm,accession_donor,none,72,6,6,0.8333333333333334,0.8380952380952381,0.875,0.8285714285714285,0.875,"[[3, 1], [0, 2]]","['keloid', 'non_keloid']",0.8380952380952381,0.8285714285714285,0.875
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_GSE190626,GSE190626,inner_equal_accession_profile,0.7111251885369533,0.6059897435897437,0.27036093200941047,0.55,none,none,fused_multiview,linear_svm,accession_donor,none,75,6,6,0.8333333333333334,0.8285714285714286,0.8333333333333333,0.8285714285714285,1.0,"[[3, 0], [1, 2]]","['keloid', 'non_keloid']",0.8285714285714286,0.8285714285714285,1.0
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_Sun_Burns,Sun_Burns,inner_equal_accession_profile,0.7723089134514038,0.4987764681474566,0.45393099998534947,0.575,none,none,fused_multiview,linear_svm,accession_donor,none,39,25,1,0.68,0.6660317460317461,0.5992647058823529,0.6031746031746031,0.7352941176470589,"[[14, 3], [5, 3]]","['keloid', 'non_keloid']",1.0,1.0,
keloid_vs_normal_scar,nested_selected,leave_accession_out_GSE163973,GSE163973,inner_equal_accession_profile,0.5838985088985088,0.45746753246753247,0.825314025181366,0.875,none,none,fibrosis_only,ridge_logreg,accession_donor,none,37,220,6,0.5636363636363636,0.5529591059182118,0.5636363636363636,0.5529591059182118,0.6249586776859504,"[[79, 31], [65, 45]]","['keloid', 'non_keloid']",0.625,0.625,1.0
keloid_vs_normal_scar,nested_selected,leave_accession_out_GSE181297,GSE181297,inner_equal_accession_profile,0.4844189059022818,0.3771428571428571,0.6767520755022955,0.55,none,none,fused_multiview,linear_svm,accession_donor,none,179,5,5,1.0,1.0,1.0,1.0,1.0,"[[4, 0], [0, 1]]","['keloid', 'non_keloid']",1.0,1.0,1.0
keloid_vs_normal_scar,nested_selected,leave_accession_out_GSE188952,GSE188952,inner_equal_accession_profile,0.6613981762917933,0.48826747720364744,0.7619259649332928,0.5,none,none,composition_only,ridge_logreg,accession_donor,none,143,7,1,0.2857142857142857,0.25396825396825395,0.25,0.2222222222222222,0.0,"[[2, 2], [3, 0]]","['keloid', 'non_keloid']",1.0,1.0,
keloid_vs_normal_scar,nested_selected,leave_accession_out_GSE210434,GSE210434,inner_equal_accession_profile,0.7439431913116125,0.5568922305764411,0.8330840497864131,0.85,none,none,composition_only,elastic_net_logreg,accession_donor,none,147,6,6,0.5,0.48571428571428577,0.5,0.4857142857142857,0.22222222222222224,"[[2, 1], [2, 1]]","['keloid', 'non_keloid']",0.48571428571428577,0.4857142857142857,0.22222222222222224
keloid_vs_pathologic_scar,nested_selected,leave_accession_out_GSE188952,GSE188952,inner_equal_accession_profile,0.8142857142857143,0.8028571428571429,0.7043151878525313,0.5,none,none,composition_only,linear_svm,accession_donor,none,103,9,1,0.8888888888888888,0.8888888888888888,0.9,0.8888888888888888,1.0,"[[4, 0], [1, 4]]","['keloid', 'non_keloid']",1.0,1.0,
keloid_vs_pathologic_scar,nested_selected,leave_accession_out_GSE210434,GSE210434,inner_equal_accession_profile,0.8861111111111111,0.795,0.9647309852724764,0.875,none,none,fused_multiview,ridge_logreg,accession_donor,none,145,6,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,"[[1, 2], [2, 1]]","['keloid', 'non_keloid']",0.3333333333333333,0.3333333333333333,0.33333333333333337
keloid_vs_pathologic_scar,nested_selected,leave_accession_out_GSE245660,GSE245660,inner_equal_accession_profile,0.8125,0.6625,0.9488494255175469,0.75,none,none,composition_only,ridge_logreg,accession_donor,none,122,5,5,0.8,0.8,0.8333333333333333,0.8,1.0,"[[2, 1], [0, 2]]","['keloid', 'non_keloid']",0.8,0.8,1.0
fibroblast_keloid_binary,nested_selected,leave_accession_out_E-MTAB-2509,E-MTAB-2509,inner_equal_accession_profile,0.5483193769423101,0.3654401154401154,0.3208428907096261,0.7,none,none,fused_multiview,elastic_net_logreg,accession_donor,none,126,9,1,0.4444444444444444,0.4444444444444444,0.5,0.4444444444444444,0.5,"[[2, 1], [4, 2]]","['keloid', 'non_keloid']",0.0,0.0,
fibroblast_keloid_binary,nested_selected,leave_accession_out_E-MTAB-4945,E-MTAB-4945,inner_equal_accession_profile,0.5981263430496506,0.3202732800152451,0.6298278186959858,0.525,none,none,composition_only,elastic_net_logreg,accession_donor,none,112,6,6,0.5,0.3333333333333333,0.5,0.3333333333333333,0.4444444444444445,"[[0, 3], [0, 3]]","['keloid', 'non_keloid']",0.3333333333333333,0.3333333333333333,0.4444444444444445
fibroblast_keloid_binary,nested_selected,leave_accession_out_GSE145725,GSE145725,inner_equal_accession_profile,0.5331369244449197,0.34500000000000003,0.45568048130841593,0.5,none,none,fused_multiview,linear_svm,accession_donor,none,96,19,10,0.5263157894736842,0.4651012145748988,0.5444444444444444,0.47384615384615386,0.5666666666666667,"[[8, 1], [8, 2]]","['keloid', 'non_keloid']",0.2857142857142857,0.2857142857142857,0.64
fibroblast_keloid_binary,nested_selected,leave_accession_out_GSE163973,GSE163973,inner_equal_accession_profile,0.5976090588790817,0.3065217391304348,0.6240773430054225,0.675,none,none,composition_only,elastic_net_logreg,accession_donor,none,58,98,6,0.5204081632653061,0.3562525681413505,0.5,0.3422818791946309,0.2949520233625365,"[[0, 47], [0, 51]]","['keloid', 'non_keloid']",0.3333333333333333,0.3333333333333333,0.22222222222222224
fibroblast_keloid_binary,nested_selected,leave_accession_out_GSE210434,GSE210434,inner_equal_accession_profile,0.5953765988138383,0.3065217391304348,0.7487309609821016,0.6,none,none,composition_only,ridge_logreg,accession_donor,none,109,9,9,0.5555555555555556,0.5555555555555556,0.5,0.5,0.5,"[[1, 2], [2, 4]]","['keloid', 'non_keloid']",0.5555555555555556,0.5,0.5
fibroblast_keloid_binary,nested_selected,leave_accession_out_GSE282479,GSE282479,inner_equal_accession_profile,0.5846166120548505,0.40516059379217273,0.4561860604542394,0.575,none,none,fused_multiview,linear_svm,accession_donor,none,114,7,7,0.7142857142857143,0.7023809523809523,0.75,0.7083333333333333,0.8333333333333333,"[[3, 0], [2, 2]]","['keloid', 'non_keloid']",0.7023809523809523,0.7083333333333333,0.8333333333333333
fibroblast_keloid_binary,nested_selected,leave_accession_out_GSE44270,GSE44270,inner_equal_accession_profile,0.5673752261907715,0.3656337483432494,0.33220954850086515,0.5,none,none,fused_multiview,linear_svm,accession_donor,none,92,16,1,0.5,0.48412698412698413,0.5238095238095238,0.4920634920634921,0.4444444444444445,"[[3, 6], [2, 5]]","['keloid', 'non_keloid']",0.0,0.0,
fibroblast_keloid_binary,nested_selected,leave_accession_out_GSE7890,GSE7890,inner_equal_accession_profile,0.5509567737560557,0.32,0.4421306803459889,0.5,none,none,rank_programs_only,elastic_net_logreg,accession_donor,none,114,10,10,0.6,0.5833333333333333,0.6000000000000001,0.5833333333333333,0.68,"[[4, 1], [3, 2]]","['keloid', 'non_keloid']",0.5833333333333333,0.5833333333333333,0.68
