endpoint,stage,split_name,accession,selection,inner_score,inner_lower_tail,threshold,selective_confidence_threshold,normalization_mode,calibration,feature_set,model,weight_mode,adaptation,n_train,n_test,n_test_donors,accuracy,weighted_f1,balanced_accuracy,macro_f1,auroc,confusion_matrix,labels,donor_weighted_f1,donor_macro_f1,donor_auroc
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_E-MTAB-4945,E-MTAB-4945,inner_equal_accession_donor,0.8575036075036075,0.601010101010101,0.513141833133316,0.525,none,none,rank_programs_only,linear_svm,accession_donor,none,52,30,10,0.6333333333333333,0.6528955768353853,0.562111801242236,0.5485636114911081,0.7142857142857143,"[[16, 7], [4, 3]]","['keloid', 'non_keloid']",0.8967032967032967,0.8901098901098901,0.9583333333333334
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_GSE173900,GSE173900,inner_equal_accession_donor,1.0,1.0,0.5013094633860615,0.875,none,none,fused_multiview,elastic_net_logreg,accession_donor,none,69,9,9,0.4444444444444444,0.43001443001442996,0.425,0.41558441558441556,0.30000000000000004,"[[3, 2], [3, 1]]","['keloid', 'non_keloid']",0.43001443001442996,0.41558441558441556,0.30000000000000004
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_GSE181297,GSE181297,inner_equal_accession_donor,0.8641414141414141,0.6591919191919192,0.4979889121578559,0.6,none,none,composition_only,linear_svm,accession_donor,none,72,6,6,0.8333333333333334,0.8380952380952381,0.875,0.8285714285714285,0.875,"[[3, 1], [0, 2]]","['keloid', 'non_keloid']",0.8380952380952381,0.8285714285714285,0.875
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_GSE190626,GSE190626,inner_equal_accession_donor,0.817027417027417,0.5524386724386724,0.45622509978713277,0.675,none,none,composition_only,ridge_logreg,accession_donor,none,75,6,6,1.0,1.0,1.0,1.0,1.0,"[[3, 0], [0, 3]]","['keloid', 'non_keloid']",1.0,1.0,1.0
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_Sun_Burns,Sun_Burns,inner_equal_accession_donor,0.8236652236652237,0.6403174603174604,0.48940101604183406,0.575,none,none,composition_only,linear_svm,accession_donor,none,39,25,1,0.64,0.6451336898395722,0.6029411764705883,0.5989304812834224,0.75,"[[12, 5], [4, 4]]","['keloid', 'non_keloid']",1.0,1.0,
keloid_vs_normal_scar,nested_selected,leave_accession_out_GSE163973,GSE163973,inner_equal_accession_donor,0.8714285714285714,0.6400000000000001,0.8457774904182247,0.5,none,none,fused_multiview,elastic_net_logreg,accession_donor,none,43,220,6,0.6181818181818182,0.6166293253671894,0.6181818181818182,0.6166293253671895,0.6338016528925621,"[[61, 49], [35, 75]]","['keloid', 'non_keloid']",0.3333333333333333,0.3333333333333333,1.0
keloid_vs_normal_scar,nested_selected,leave_accession_out_GSE178562,GSE178562,inner_equal_accession_donor,0.7285714285714286,0.52,0.6853908466388158,0.5,none,none,scar_discriminative,linear_svm,accession_donor,none,143,4,2,0.0,0.0,0.0,0.0,0.0,"[[0, 2], [2, 0]]","['keloid', 'non_keloid']",0.0,0.0,0.0
keloid_vs_normal_scar,nested_selected,leave_accession_out_GSE181297,GSE181297,inner_equal_accession_donor,0.71875,0.36250000000000004,0.7996971097753415,0.75,none,none,composition_only,elastic_net_logreg,accession_donor,none,188,5,5,0.6,0.6333333333333333,0.75,0.5833333333333333,1.0,"[[2, 2], [0, 1]]","['keloid', 'non_keloid']",0.6333333333333333,0.5833333333333333,1.0
keloid_vs_normal_scar,nested_selected,leave_accession_out_GSE188952,GSE188952,inner_equal_accession_donor,0.9166666666666666,0.7666666666666666,0.5061935798464074,0.5,none,platt_inner_oof,fibrosis_only,linear_svm,accession_donor,none,216,7,1,0.14285714285714285,0.14285714285714285,0.125,0.125,0.0,"[[1, 3], [3, 0]]","['keloid', 'non_keloid']",1.0,1.0,
keloid_vs_normal_scar,nested_selected,leave_accession_out_GSE210434,GSE210434,inner_equal_accession_donor,0.90625,0.7375,0.774951108844819,0.625,none,none,composition_only,ridge_logreg,accession_donor,none,188,6,6,0.3333333333333333,0.25,0.3333333333333333,0.25,0.11111111111111112,"[[2, 1], [3, 0]]","['keloid', 'non_keloid']",0.25,0.25,0.11111111111111112
keloid_vs_pathologic_scar,nested_selected,leave_accession_out_GSE178562,GSE178562,inner_equal_accession_donor,0.942857142857143,0.8628571428571429,0.6862150027298117,0.675,none,none,composition_only,linear_svm,accession_donor,none,149,4,2,0.75,0.7333333333333334,0.75,0.7333333333333334,1.0,"[[2, 0], [1, 1]]","['keloid', 'non_keloid']",1.0,1.0,1.0
keloid_vs_pathologic_scar,nested_selected,leave_accession_out_GSE188952,GSE188952,inner_equal_accession_donor,0.8019841269841269,0.6561904761904762,0.5339193992577764,0.5,none,platt_inner_oof,fibrosis_only,linear_svm,accession_donor,none,74,9,1,0.4444444444444444,0.4011544011544011,0.475,0.41558441558441556,0.29999999999999993,"[[3, 1], [4, 1]]","['keloid', 'non_keloid']",0.0,0.0,
