endpoint,stage,split_name,accession,selection,inner_score,inner_lower_tail,threshold,selective_confidence_threshold,normalization_mode,calibration,feature_set,model,weight_mode,adaptation,n_train,n_test,n_test_donors,accuracy,weighted_f1,balanced_accuracy,macro_f1,auroc,confusion_matrix,labels,donor_weighted_f1,donor_macro_f1,donor_auroc
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_E-MTAB-4945,E-MTAB-4945,inner_equal_accession_donor,0.8575036075036075,0.601010101010101,0.513141436431422,0.525,none,none,rank_programs_only,linear_svm,accession_donor,none,52,30,10,0.6333333333333333,0.6528955768353853,0.562111801242236,0.5485636114911081,0.7142857142857143,"[[16, 7], [4, 3]]","['keloid', 'non_keloid']",0.8967032967032967,0.8901098901098901,0.9583333333333334
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_GSE173900,GSE173900,inner_equal_accession_donor,1.0,1.0,0.5013096334420992,0.875,none,none,fused_multiview,elastic_net_logreg,accession_donor,none,69,9,9,0.4444444444444444,0.43001443001442996,0.425,0.41558441558441556,0.30000000000000004,"[[3, 2], [3, 1]]","['keloid', 'non_keloid']",0.43001443001442996,0.41558441558441556,0.30000000000000004
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_GSE181297,GSE181297,inner_equal_accession_donor,0.8641414141414141,0.6591919191919192,0.49798817994833,0.6,none,none,composition_only,linear_svm,accession_donor,none,72,6,6,0.8333333333333334,0.8380952380952381,0.875,0.8285714285714285,0.875,"[[3, 1], [0, 2]]","['keloid', 'non_keloid']",0.8380952380952381,0.8285714285714285,0.875
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_GSE190626,GSE190626,inner_equal_accession_donor,0.8236652236652237,0.6403174603174604,0.4838709563352798,0.6,train_accession_zscore,none,composition_only,linear_svm,accession_donor,none,75,6,6,0.8333333333333334,0.8285714285714286,0.8333333333333333,0.8285714285714285,0.888888888888889,"[[2, 1], [0, 3]]","['keloid', 'non_keloid']",0.8285714285714286,0.8285714285714285,0.888888888888889
keloid_vs_unaffected_skin,nested_selected,leave_accession_out_Sun_Burns,Sun_Burns,inner_equal_accession_donor,0.8236652236652237,0.6403174603174604,0.4893991620769631,0.575,none,none,composition_only,linear_svm,accession_donor,none,39,25,1,0.64,0.6451336898395722,0.6029411764705883,0.5989304812834224,0.75,"[[12, 5], [4, 4]]","['keloid', 'non_keloid']",1.0,1.0,
keloid_vs_normal_scar,nested_selected,leave_accession_out_GSE163973,GSE163973,inner_equal_accession_donor,0.9037037037037038,0.7688888888888888,0.6079012271046533,0.5,train_accession_zscore,platt_inner_oof,composition_only,ridge_logreg,accession_donor,none,37,220,6,0.45,0.35872419358724195,0.45,0.35872419358724195,0.2896694214876033,"[[91, 19], [102, 8]]","['keloid', 'non_keloid']",0.3333333333333333,0.3333333333333333,0.0
keloid_vs_normal_scar,nested_selected,leave_accession_out_GSE181297,GSE181297,inner_equal_accession_donor,0.7777777777777778,0.4666666666666667,0.6879230740818977,0.55,none,none,scar_discriminative,linear_svm,accession_donor,none,179,5,5,1.0,1.0,1.0,1.0,1.0,"[[4, 0], [0, 1]]","['keloid', 'non_keloid']",1.0,1.0,1.0
keloid_vs_normal_scar,nested_selected,leave_accession_out_GSE188952,GSE188952,inner_equal_accession_donor,0.7894179894179895,0.7346031746031746,0.5061301762141351,0.5,none,platt_inner_oof,fibrosis_only,linear_svm,accession_donor,none,143,7,1,0.7142857142857143,0.7023809523809523,0.75,0.7083333333333333,0.9166666666666667,"[[2, 2], [0, 3]]","['keloid', 'non_keloid']",0.0,0.0,
keloid_vs_normal_scar,nested_selected,leave_accession_out_GSE210434,GSE210434,inner_equal_accession_donor,0.8825396825396825,0.820952380952381,0.6674967546499644,0.675,train_accession_zscore,none,composition_only,linear_svm,accession_donor,none,147,6,6,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.0,"[[1, 2], [3, 0]]","['keloid', 'non_keloid']",0.14285714285714285,0.14285714285714285,0.0
keloid_vs_pathologic_scar,nested_selected,leave_accession_out_GSE188952,GSE188952,inner_equal_accession_donor,0.9142857142857144,0.8457142857142858,0.5444665828087792,0.5,train_accession_zscore,platt_inner_oof,scar_discriminative,elastic_net_logreg,accession_donor,none,103,9,1,0.3333333333333333,0.31666666666666665,0.35,0.325,0.19999999999999996,"[[2, 2], [4, 1]]","['keloid', 'non_keloid']",0.0,0.0,
