accession,role,primary_skin_decision,v1_skin_evaluable,v2_skin_evaluable,changed
E-MTAB-2509,fibroblast_sensitivity_only,exclude,True,False,True
E-MTAB-4945,development_tissue_row_filter,include_tissue_rows_only,True,True,False
GSE121618,compartment_specialist_endothelial,exclude,True,False,True
GSE145725,fibroblast_sensitivity_only,exclude,True,False,True
GSE163973,scar_and_celltype_auxiliary,exclude,False,False,False
GSE173900,development_tissue,include,True,True,False
GSE181297,development_tissue_pseudobulk,include,True,True,False
GSE188952,scar_specialist,exclude,False,False,False
GSE190626,development_tissue,include,True,True,False
GSE210434,scar_specialist,exclude,False,False,False
GSE232079,interpretation_only,exclude,True,False,True
GSE245660,scar_specialist,exclude,False,False,False
GSE246562,auxiliary_stiffness_only,exclude,True,False,True
GSE282479,fibroblast_sensitivity_only,exclude,True,False,True
GSE303591,interpretation_only,exclude,True,False,True
GSE44270,audit_pending_donor_recovery,exclude,False,False,False
GSE7890,fibroblast_sensitivity_only,exclude,False,False,False
Sun_Burns,development_tissue_caution,include_with_single_donor_flag,True,True,False
