task,split_name,feature_set,model,normalization_mode,n_train,n_test,accuracy,weighted_f1,balanced_accuracy,macro_f1,auroc,threshold,confusion_matrix,labels
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_only,ensemble_member,quantile_rank,231,27,0.2962962962962963,0.2962962962962963,0.3333333333333333,0.2962962962962963,0.19753086419753085,0.5750000000000001,"[[4, 5], [14, 4]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,modules_rank_plus_expanded,ensemble_member,quantile_rank,231,27,0.3333333333333333,0.16666666666666666,0.5,0.25,0.20987654320987653,0.1,"[[9, 0], [18, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,profibrotic_module_only,ensemble_member,quantile_rank,231,27,0.3333333333333333,0.3406593406593406,0.3611111111111111,0.33241758241758246,0.20987654320987656,0.5750000000000001,"[[4, 5], [13, 5]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,expanded_profibrotic_only,ensemble_member,quantile_rank,231,27,0.3333333333333333,0.16666666666666666,0.5,0.25,0.36419753086419754,0.1,"[[9, 0], [18, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,published_markers_only,ensemble_member,quantile_rank,231,27,0.3333333333333333,0.16666666666666666,0.5,0.25,0.3827160493827161,0.1,"[[9, 0], [18, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,shared_genes,ensemble_member,quantile_rank,231,27,0.2962962962962963,0.20490620490620493,0.4166666666666667,0.2597402597402597,0.29012345679012347,0.55,"[[7, 2], [17, 1]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-2509,stacked_ensemble,calibrated_soft_vote,quantile_rank,231,27,0.3333333333333333,0.16666666666666666,0.5,0.25,0.2222222222222222,0.1,"[[9, 0], [18, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-4945,modules_rank_only,ensemble_member,quantile_rank,315,40,0.325,0.15943396226415094,0.5,0.24528301886792453,0.32193732193732194,0.75,"[[0, 27], [0, 13]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-4945,modules_rank_plus_expanded,ensemble_member,quantile_rank,315,40,0.325,0.19949290060851926,0.48005698005698005,0.2697768762677485,0.27350427350427353,0.75,"[[1, 26], [1, 12]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-4945,profibrotic_module_only,ensemble_member,quantile_rank,315,40,0.325,0.15943396226415094,0.5,0.24528301886792453,0.3390313390313391,0.775,"[[0, 27], [0, 13]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-4945,expanded_profibrotic_only,ensemble_member,quantile_rank,315,40,0.325,0.15943396226415094,0.5,0.24528301886792453,0.274928774928775,0.7000000000000001,"[[0, 27], [0, 13]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-4945,published_markers_only,ensemble_member,quantile_rank,315,40,0.325,0.15943396226415094,0.5,0.24528301886792453,0.36467236467236464,0.875,"[[0, 27], [0, 13]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-4945,shared_genes,ensemble_member,quantile_rank,315,40,0.325,0.15943396226415094,0.5,0.24528301886792453,0.36182336182336183,0.75,"[[0, 27], [0, 13]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_E-MTAB-4945,stacked_ensemble,calibrated_soft_vote,quantile_rank,315,40,0.3,0.15,0.46153846153846156,0.23076923076923078,0.3162393162393162,0.7000000000000001,"[[0, 27], [1, 12]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE145725,modules_rank_only,ensemble_member,quantile_rank,340,19,0.42105263157894735,0.2807017543859649,0.4444444444444444,0.2962962962962963,0.2,0.325,"[[8, 1], [10, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE145725,modules_rank_plus_expanded,ensemble_member,quantile_rank,340,19,0.47368421052631576,0.3045112781954888,0.5,0.32142857142857145,0.33333333333333337,0.275,"[[9, 0], [10, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE145725,profibrotic_module_only,ensemble_member,quantile_rank,340,19,0.42105263157894735,0.2807017543859649,0.4444444444444444,0.2962962962962963,0.15555555555555556,0.42500000000000004,"[[8, 1], [10, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE145725,expanded_profibrotic_only,ensemble_member,quantile_rank,340,19,0.47368421052631576,0.3045112781954888,0.5,0.32142857142857145,0.30000000000000004,0.1,"[[9, 0], [10, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE145725,published_markers_only,ensemble_member,quantile_rank,340,19,0.5263157894736842,0.41148325358851673,0.55,0.4242424242424242,0.6222222222222222,0.325,"[[9, 0], [9, 1]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE145725,shared_genes,ensemble_member,quantile_rank,340,19,0.47368421052631576,0.3045112781954888,0.5,0.32142857142857145,0.6,0.1,"[[9, 0], [10, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE145725,stacked_ensemble,calibrated_soft_vote,quantile_rank,340,19,0.47368421052631576,0.3045112781954888,0.5,0.32142857142857145,0.2777777777777778,0.1,"[[9, 0], [10, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE158395,modules_rank_only,ensemble_member,quantile_rank,262,13,0.46153846153846156,0.340080971659919,0.42857142857142855,0.3157894736842105,0.2619047619047619,0.45000000000000007,"[[6, 1], [6, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE158395,modules_rank_plus_expanded,ensemble_member,quantile_rank,262,13,0.38461538461538464,0.2991452991452992,0.35714285714285715,0.2777777777777778,0.2380952380952381,0.42500000000000004,"[[5, 2], [6, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE158395,profibrotic_module_only,ensemble_member,quantile_rank,262,13,0.5384615384615384,0.37692307692307686,0.5,0.35,0.1428571428571429,0.1,"[[7, 0], [6, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE158395,expanded_profibrotic_only,ensemble_member,quantile_rank,262,13,0.46153846153846156,0.340080971659919,0.42857142857142855,0.3157894736842105,0.15476190476190482,0.475,"[[6, 1], [6, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE158395,published_markers_only,ensemble_member,quantile_rank,262,13,0.3076923076923077,0.25339366515837103,0.2857142857142857,0.23529411764705882,0.19047619047619047,0.55,"[[4, 3], [6, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE158395,shared_genes,ensemble_member,quantile_rank,262,13,0.5384615384615384,0.37692307692307686,0.5,0.35,0.38095238095238093,0.625,"[[7, 0], [6, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE158395,stacked_ensemble,calibrated_soft_vote,quantile_rank,262,13,0.5384615384615384,0.37692307692307686,0.5,0.35,0.2142857142857143,0.1,"[[7, 0], [6, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE163973,modules_rank_only,ensemble_member,quantile_rank,166,220,0.5,0.3333333333333333,0.5,0.3333333333333333,0.2735537190082644,0.725,"[[0, 110], [0, 110]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE163973,modules_rank_plus_expanded,ensemble_member,quantile_rank,166,220,0.4772727272727273,0.3230769230769231,0.4772727272727273,0.3230769230769231,0.27603305785123966,0.7000000000000001,"[[0, 110], [5, 105]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE163973,profibrotic_module_only,ensemble_member,quantile_rank,166,220,0.5,0.3333333333333333,0.5,0.3333333333333333,0.27330578512396697,0.7000000000000001,"[[0, 110], [0, 110]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE163973,expanded_profibrotic_only,ensemble_member,quantile_rank,166,220,0.5,0.3333333333333333,0.5,0.3333333333333333,0.2594628099173554,0.625,"[[0, 110], [0, 110]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE163973,published_markers_only,ensemble_member,quantile_rank,166,220,0.5,0.3333333333333333,0.5,0.3333333333333333,0.26545454545454544,0.725,"[[0, 110], [0, 110]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE163973,shared_genes,ensemble_member,quantile_rank,166,220,0.5,0.34883220320740493,0.5,0.348832203207405,0.3247107438016529,0.75,"[[2, 108], [2, 108]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE163973,stacked_ensemble,calibrated_soft_vote,quantile_rank,166,220,0.4863636363636364,0.342171416474822,0.4863636363636364,0.342171416474822,0.25495867768595043,0.65,"[[2, 108], [5, 105]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE181297,modules_rank_only,ensemble_member,quantile_rank,379,7,0.5714285714285714,0.4155844155844156,0.5,0.36363636363636365,0.0,0.1,"[[4, 0], [3, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE181297,modules_rank_plus_expanded,ensemble_member,quantile_rank,379,7,0.5714285714285714,0.4155844155844156,0.5,0.36363636363636365,0.0,0.1,"[[4, 0], [3, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE181297,profibrotic_module_only,ensemble_member,quantile_rank,379,7,0.0,0.0,0.0,0.0,0.0,0.55,"[[0, 4], [3, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE181297,expanded_profibrotic_only,ensemble_member,quantile_rank,379,7,0.2857142857142857,0.19047619047619047,0.3333333333333333,0.2222222222222222,0.125,0.65,"[[0, 4], [1, 2]]","['keloid', 'non_keloid']"
