model,task,feature,proxy
logistic_regression,drug_response_class,source_dataset,feature_used_in_model
logistic_regression,drug_response_class,cell_source,feature_used_in_model
logistic_regression,drug_response_class,fb_ec_ratio,feature_used_in_model
logistic_regression,drug_response_class,drug,feature_used_in_model
logistic_regression,drug_response_class,drug_concentration_um,feature_used_in_model
logistic_regression,drug_response_class,tgfb1,feature_used_in_model
logistic_regression,drug_response_class,replicate_id,feature_used_in_model
logistic_regression,drug_response_class,relative_volume_pct,feature_used_in_model
logistic_regression,drug_response_class,spheroid_area_um2,feature_used_in_model
logistic_regression,drug_response_class,COL1A1,feature_used_in_model
logistic_regression,drug_response_class,COL3A1,feature_used_in_model
logistic_regression,drug_response_class,TGFB1,feature_used_in_model
logistic_regression,spheroid_state,source_dataset,feature_used_in_model
logistic_regression,spheroid_state,cell_source,feature_used_in_model
logistic_regression,spheroid_state,fb_ec_ratio,feature_used_in_model
logistic_regression,spheroid_state,drug,feature_used_in_model
logistic_regression,spheroid_state,drug_concentration_um,feature_used_in_model
logistic_regression,spheroid_state,tgfb1,feature_used_in_model
logistic_regression,spheroid_state,replicate_id,feature_used_in_model
logistic_regression,spheroid_state,relative_volume_pct,feature_used_in_model
logistic_regression,spheroid_state,spheroid_area_um2,feature_used_in_model
logistic_regression,spheroid_state,COL1A1,feature_used_in_model
logistic_regression,spheroid_state,COL3A1,feature_used_in_model
logistic_regression,spheroid_state,TGFB1,feature_used_in_model
logistic_regression,fibrotic_state,source_dataset,feature_used_in_model
logistic_regression,fibrotic_state,cell_source,feature_used_in_model
logistic_regression,fibrotic_state,fb_ec_ratio,feature_used_in_model
logistic_regression,fibrotic_state,drug,feature_used_in_model
logistic_regression,fibrotic_state,drug_concentration_um,feature_used_in_model
logistic_regression,fibrotic_state,tgfb1,feature_used_in_model
logistic_regression,fibrotic_state,replicate_id,feature_used_in_model
logistic_regression,fibrotic_state,COL1A1,feature_used_in_model
logistic_regression,fibrotic_state,COL3A1,feature_used_in_model
logistic_regression,fibrotic_state,TGFB1,feature_used_in_model
logistic_regression,fibrotic_state,mean_qpcr_expression,feature_used_in_model
logistic_regression,fibrotic_state,alpha_SMA,feature_used_in_model
logistic_regression,fibrotic_state,COL1A1_COL3A1_ratio,feature_used_in_model
