task,feature_set,model,split_family,weighted_f1_mean,weighted_f1_std,weighted_f1_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,accuracy_mean,accuracy_std,accuracy_count
keloid_binary,low_i2_core_only,elastic_net_logreg,grouped,0.7033724114800001,0.1011543141070232,15,0.66767642864,0.11017699402560965,15,0.6911477429866667,0.10061635523092456,15
keloid_binary,low_i2_core_only,elastic_net_logreg,leave_accession_out,0.58005826362,0.2232969799129641,10,0.6242055167,0.1543656314457869,10,0.63957257217,0.16468302178076,10
keloid_binary,low_i2_core_only,hist_gradient_boosting,grouped,0.6186245886666667,0.1337383518016308,15,0.6156685277,0.08741541030418079,15,0.6024794251600001,0.13346302742553304,15
keloid_binary,low_i2_core_only,hist_gradient_boosting,leave_accession_out,0.52741115323,0.26275996074899727,10,0.6293052318,0.13775950625199881,10,0.59524620067,0.18645380044006757,10
keloid_binary,low_i2_core_only,knn,grouped,0.6219922590066668,0.15071945861164165,15,0.6309237452466667,0.09977889146257067,15,0.6108881664600001,0.13789811119674522,15
keloid_binary,low_i2_core_only,knn,leave_accession_out,0.49861657969,0.2660458036116944,10,0.61291893292,0.16436423263413585,10,0.5735448513500001,0.2008839336916927,10
keloid_binary,low_i2_core_only,linear_svm,grouped,0.7002977165933333,0.10232400988447998,15,0.6627927142933333,0.11154671402930567,15,0.6878272569933334,0.10216439264436598,15
keloid_binary,low_i2_core_only,linear_svm,leave_accession_out,0.5695752817799999,0.21758918828887103,10,0.61305296555,0.152650314351669,10,0.6288548688300001,0.16162564092481252,10
keloid_binary,low_i2_core_only,majority,grouped,0.27121458551333333,0.2805605670290743,15,0.5,0.0,15,0.4020483620066667,0.2575354680446637,15
keloid_binary,low_i2_core_only,majority,leave_accession_out,0.31970183427000004,0.1307623235036921,10,0.5,0.0,10,0.48059432235,0.1186438997997646,10
keloid_binary,low_i2_core_only,random_forest,grouped,0.62454065678,0.13432591450267156,15,0.6269571286733334,0.09735551691057716,15,0.6051232569266667,0.13633662798827972,15
keloid_binary,low_i2_core_only,random_forest,leave_accession_out,0.49774592535,0.23668362516656935,10,0.6116265216300001,0.11140089682522983,10,0.5734246012299999,0.16406112599355804,10
keloid_binary,low_i2_core_only,small_mlp,grouped,0.5999607253200001,0.20174821803032456,15,0.6110976842933334,0.11669389771265981,15,0.6116381733133334,0.17179817637349337,15
keloid_binary,low_i2_core_only,small_mlp,leave_accession_out,0.43960746843000004,0.23029153348708514,10,0.58553872055,0.11341422774533695,10,0.53410992954,0.16701988119006708,10
keloid_binary,low_i2_core_only,stratified_random,grouped,0.49261361282666666,0.09824603805229486,15,0.4898865703066667,0.09048815617441172,15,0.46177248096,0.08838425950135761,15
keloid_binary,low_i2_core_only,stratified_random,leave_accession_out,0.51846248652,0.13773201350776998,10,0.51261981754,0.15096270972856526,10,0.51511041053,0.14507734216893722,10
keloid_binary,modules_only,elastic_net_logreg,grouped,0.6832760379533334,0.07768647334361536,15,0.66382829578,0.07148943826156196,15,0.6647534836200001,0.07420973175528074,15
keloid_binary,modules_only,elastic_net_logreg,leave_accession_out,0.65481072514,0.14141167544703262,10,0.65400099899,0.13171137104285424,10,0.68132379852,0.11314687396059521,10
keloid_binary,modules_only,hist_gradient_boosting,grouped,0.6186999664533334,0.09658898978175999,15,0.6466008518733334,0.08440844696917596,15,0.5973412868066668,0.09160323141750534,15
keloid_binary,modules_only,hist_gradient_boosting,leave_accession_out,0.63954467339,0.13203273769665885,10,0.63470682095,0.12936147785201724,10,0.6715639530999999,0.10527649626593553,10
keloid_binary,modules_only,knn,grouped,0.6280027224933333,0.09897018508726561,15,0.61805435116,0.09590570125054097,15,0.6050500695200001,0.09489172003729188,15
keloid_binary,modules_only,knn,leave_accession_out,0.55326268804,0.2647721171360573,10,0.60896353646,0.212480460837693,10,0.58673166941,0.22827295867866856,10
keloid_binary,modules_only,linear_svm,grouped,0.6858585305866668,0.07862636039307058,15,0.6647000205333333,0.07005029819758504,15,0.66777191012,0.0773510391750615,15
keloid_binary,modules_only,linear_svm,leave_accession_out,0.64867474559,0.13477235768456358,10,0.64753635253,0.12403209031659836,10,0.67515154971,0.10645709249485505,10
keloid_binary,modules_only,majority,grouped,0.27121458551333333,0.2805605670290743,15,0.5,0.0,15,0.4020483620066667,0.2575354680446637,15
keloid_binary,modules_only,majority,leave_accession_out,0.31970183427000004,0.1307623235036921,10,0.5,0.0,10,0.48059432235,0.1186438997997646,10
keloid_binary,modules_only,random_forest,grouped,0.6625770235066667,0.11232992380430076,15,0.6784961210733333,0.08209246450360115,15,0.6488178376866667,0.10563965832362172,15
keloid_binary,modules_only,random_forest,leave_accession_out,0.5866260716,0.2616005214421645,10,0.64215987716,0.20293927153088304,10,0.6233176808499999,0.2143448394882071,10
keloid_binary,modules_only,small_mlp,grouped,0.6257116390266667,0.11169046259055769,15,0.6389292309400001,0.0684459296254773,15,0.6065486115733333,0.10464330227064621,15
keloid_binary,modules_only,small_mlp,leave_accession_out,0.57119116062,0.19852750872114078,10,0.61450059199,0.13716376858101348,10,0.60319641809,0.1551612723064746,10
keloid_binary,modules_only,stratified_random,grouped,0.49261361282666666,0.09824603805229486,15,0.4898865703066667,0.09048815617441172,15,0.46177248096,0.08838425950135761,15
keloid_binary,modules_only,stratified_random,leave_accession_out,0.51846248652,0.13773201350776998,10,0.51261981754,0.15096270972856526,10,0.51511041053,0.14507734216893722,10
