method,held_out_accession,weighted_f1,n_test
raw,GSE145725,0.7353678313430635,19
raw,GSE158395,0.8443223443223443,13
raw,GSE163973,0.6574987026466009,220
raw,GSE181297,0.8507936507936508,7
raw,GSE188952,0.19047619047619047,12
raw,GSE44270,0.40499999999999997,32
raw,GSE7890,0.5766081871345029,19
raw,Sun_Burns,0.15515151515151515,25
combat_like,GSE145725,0.7353678313430635,19
combat_like,GSE158395,0.8443223443223443,13
combat_like,GSE163973,0.6574987026466009,220
combat_like,GSE181297,0.8507936507936508,7
combat_like,GSE188952,0.19047619047619047,12
combat_like,GSE44270,0.40499999999999997,32
combat_like,GSE7890,0.5766081871345029,19
combat_like,Sun_Burns,0.15515151515151515,25
