task,feature_set,model,split_family,weighted_f1_mean,weighted_f1_std,weighted_f1_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,accuracy_mean,accuracy_std,accuracy_count,reporting_priority
keloid_binary,modules_only,elastic_net_logreg,leave_accession_out,0.65481072514,0.14141167544703262,10,0.65400099899,0.13171137104285424,10,0.68132379852,0.11314687396059521,10,primary_loso
keloid_binary,profibrotic_module_only,small_mlp,leave_accession_out,0.6514269607800001,0.18009232877533377,10,0.6575629000600001,0.16504191659071152,10,0.6832550203200001,0.15667995946902247,10,primary_loso
keloid_binary,modules_only,linear_svm,leave_accession_out,0.64867474559,0.13477235768456358,10,0.64753635253,0.12403209031659836,10,0.67515154971,0.10645709249485505,10,primary_loso
keloid_binary,modules_only,hist_gradient_boosting,leave_accession_out,0.63954467339,0.13203273769665885,10,0.63470682095,0.12936147785201724,10,0.6715639530999999,0.10527649626593553,10,primary_loso
keloid_binary,profibrotic_module_only,elastic_net_logreg,leave_accession_out,0.63639650604,0.23402796108491136,10,0.67780150404,0.1568838856305581,10,0.66741096575,0.1859752524482784,10,primary_loso
keloid_binary,shared_genes,elastic_net_logreg,grouped,0.7421497560333333,0.13628244604238487,15,0.7116310725733334,0.13507965707563171,15,0.7373943502066668,0.13621010178559223,15,secondary_grouped
keloid_binary,shared_genes_plus_modules,elastic_net_logreg,grouped,0.7405813894066667,0.13745653108524705,15,0.7090112221266668,0.13383838457293507,15,0.7357813544266667,0.13864321910586835,15,secondary_grouped
keloid_binary,profibrotic_module_only,linear_svm,grouped,0.7232408596533334,0.10570003304362725,15,0.69462656012,0.11224880141523537,15,0.7069664296866667,0.10421325509017605,15,secondary_grouped
keloid_binary,profibrotic_module_only,elastic_net_logreg,grouped,0.7188386211933333,0.10805772897386602,15,0.6940661924666667,0.1099812121892327,15,0.7034614936200001,0.10398203447191906,15,secondary_grouped
keloid_binary,low_i2_core_only,elastic_net_logreg,grouped,0.7033724114800001,0.1011543141070232,15,0.66767642864,0.11017699402560965,15,0.6911477429866667,0.10061635523092456,15,secondary_grouped
