signature_id,gene,n_studies,frac_studies_same_direction,frac_studies_fdr_significant,fails_loso_replication,reason
GSE145725_up,COL1A1,8,0.625,0.25,True,low_per_study_significance
GSE145725_up,COL3A1,8,0.625,0.25,True,low_per_study_significance
GSE145725_up,POSTN,8,0.625,0.5,False,passes
GSE145725_up,ACTA2,8,0.5,0.25,True,low_per_study_significance
GSE145725_up,TGFB1,8,0.625,0.25,True,low_per_study_significance
GSE145725_up,FN1,8,0.75,0.375,False,passes
GSE145725_up,CTHRC1,8,0.5,0.125,True,low_per_study_significance
GSE145725_up,HIF1A,8,0.625,0.5,False,passes
GSE145725_up,PECAM1,8,0.375,0.375,True,low_direction_consistency
GSE44270_up,COL1A1,8,0.625,0.25,True,low_per_study_significance
GSE44270_up,COL3A1,8,0.625,0.25,True,low_per_study_significance
GSE44270_up,FN1,8,0.75,0.375,False,passes
GSE44270_up,POSTN,8,0.625,0.5,False,passes
GSE44270_up,ACTA2,8,0.5,0.25,True,low_per_study_significance
GSE44270_up,TAGLN,8,0.5,0.5,False,passes
GSE44270_up,TGFB1,8,0.625,0.25,True,low_per_study_significance
GSE44270_up,CTHRC1,8,0.5,0.125,True,low_per_study_significance
GSE44270_up,MMP14,8,0.5,0.5,False,passes
GSE44270_up,ADAM12,8,0.5,0.25,True,low_per_study_significance
module_panel,COL1A1,8,0.625,0.25,True,low_per_study_significance
module_panel,COL3A1,8,0.625,0.25,True,low_per_study_significance
module_panel,FN1,8,0.75,0.375,False,passes
module_panel,ACTA2,8,0.5,0.25,True,low_per_study_significance
module_panel,TAGLN,8,0.5,0.5,False,passes
module_panel,MYL9,8,0.5,0.25,True,low_per_study_significance
module_panel,TGFB1,8,0.625,0.25,True,low_per_study_significance
module_panel,TGFB3,8,0.625,0.25,True,low_per_study_significance
module_panel,TGFBR1,8,0.25,0.375,True,low_direction_consistency
module_panel,TGFBR2,8,0.375,0.375,True,low_direction_consistency
module_panel,SMAD2,8,0.5,0.25,True,low_per_study_significance
module_panel,SMAD3,8,0.375,0.25,True,low_direction_consistency
module_panel,HIF1A,8,0.625,0.5,False,passes
module_panel,PECAM1,8,0.375,0.375,True,low_direction_consistency
module_panel,VWF,8,0.375,0.125,True,low_direction_consistency
module_panel,KDR,8,0.5,0.0,True,low_per_study_significance
module_panel,MMP14,8,0.5,0.5,False,passes
module_panel,ADAM12,8,0.5,0.25,True,low_per_study_significance
module_panel,HTRA1,8,0.5,0.375,False,passes
module_panel,CTHRC1,8,0.5,0.125,True,low_per_study_significance
module_panel,POSTN,8,0.625,0.5,False,passes
module_panel,IGFBP2,8,0.375,0.0,True,low_direction_consistency
