accession,gene,effect_size,se,n_keloid,n_non_keloid,keloid_mean,non_keloid_mean
GSE145725,A2M,1.3495879602718825,0.508962047099498,9,10,0.6133682923148892,-0.5520314630833992
GSE158395,A2M,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,A2M,0.492875426915626,0.13687192243495094,110,110,0.2405447165790604,-0.24054471657906076
GSE181297,A2M,1.2662500511648462,0.8353808309790572,4,3,0.5298367265989978,-0.7064489687986653
GSE188952,A2M,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,A2M,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,A2M,0.250458838897005,0.4612611959047389,10,9,0.1265935510273399,-0.14065950114148848
Sun_Burns,A2M,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,A4GALT,0.003988041085996944,0.45946874719597647,9,10,0.002261057406495268,-0.0020349516658543787
GSE158395,A4GALT,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,A4GALT,0.10530647885027007,0.13493339648683111,110,110,0.052881827521670755,-0.05288182752167073
GSE181297,A4GALT,-0.24967015251071115,0.7666719288923572,4,3,-0.1371407087040728,0.18285427827209602
GSE188952,A4GALT,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,A4GALT,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,A4GALT,-0.349469533416303,0.4629525148154031,10,9,-0.1750869384613256,0.19454104273480738
Sun_Burns,A4GALT,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AACS,2.584354694622222,0.6219898334301593,9,10,0.8404282683359366,-0.7563854415023442
GSE158395,AACS,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AACS,0.34146548100844976,0.13581905304418426,110,110,0.1692272900308499,-0.16922729003084866
GSE181297,AACS,-0.8841872797781812,0.7994843790302869,4,3,-0.41992356036186157,0.5598980804824821
GSE188952,AACS,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AACS,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AACS,-1.1030235510068145,0.49308062691553656,10,9,-0.4805924424272911,0.5339916026969905
Sun_Burns,AACS,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AADAC,-0.45960441232636573,0.46547820453390465,9,10,-0.25255921293889005,0.22730329164500299
GSE158395,AADAC,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AADAC,-0.17059380904121677,0.1350850089899891,110,110,-0.08547242269306135,0.08547242269306123
GSE181297,AADAC,0.6316530279004509,0.7821970985774838,4,3,0.32242119585939166,-0.4298949278125219
GSE188952,AADAC,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AADAC,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AADAC,-0.16906762505573533,0.4602861262320316,10,9,-0.0858951788199925,0.09543908757776477
Sun_Burns,AADAC,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AASS,0.29846870075345394,0.4620123542308,9,10,0.1669642677005517,-0.15026784093048953
