modality,module,keloid_mean,non_keloid_mean,delta,n_keloid,n_non_keloid
arrayexpress,ECM_score,0.06923012001232103,-0.08039626840140526,0.14962638841372627,36,31
arrayexpress,myofibroblast_score,0.06208224986990539,-0.0720955159779636,0.134177765847869,36,31
arrayexpress,TGFb_score,0.04622127581728696,-0.053676320303943904,0.09989759612123086,36,31
arrayexpress,hypoxia_vascular_score,0.1535619813140976,-0.1783300428163672,0.3318920241304648,36,31
arrayexpress,remodeling_score,0.13865059082774553,-0.16101358934835003,0.29966418017609553,36,31
arrayexpress,fibrotic_activity_score,0.1493012276908788,-0.17338207086682778,0.3226832985577066,36,31
bulk_rnaseq,ECM_score,0.23574534719856297,-0.3000395327981714,0.5357848799967344,28,22
bulk_rnaseq,myofibroblast_score,-0.20086444873428838,0.25564566202545563,-0.456510110759744,28,22
bulk_rnaseq,TGFb_score,-0.014848310360443836,0.018897849549655545,-0.03374615991009938,28,22
bulk_rnaseq,hypoxia_vascular_score,-0.07380704731649211,0.09393624203917157,-0.16774328935566368,28,22
bulk_rnaseq,remodeling_score,0.08936745387824728,-0.11374039584504146,0.20310784972328874,28,22
bulk_rnaseq,fibrotic_activity_score,-0.007900943979143078,0.010055746882545357,-0.017956690861688433,28,22
microarray,ECM_score,0.061816133474046665,-0.08242151129872831,0.14423764477277498,44,33
microarray,myofibroblast_score,0.16734537086425558,-0.223127161152341,0.3904725320165966,44,33
microarray,TGFb_score,0.0029490032221349623,-0.003932004296180555,0.006881007518315517,44,33
microarray,hypoxia_vascular_score,0.026584847013315125,-0.03544646268441893,0.06203130969773406,44,33
microarray,remodeling_score,-0.007747750759622523,0.010330334346165797,-0.01807808510578832,44,33
microarray,fibrotic_activity_score,0.07399746099962348,-0.09866328133283082,0.17266074233245432,44,33
scrna_spatial,ECM_score,0.2959677538200979,-0.3038253048064718,0.5997930586265696,116,113
scrna_spatial,myofibroblast_score,0.16474458119325905,-0.1691183311364427,0.3338629123297018,116,113
scrna_spatial,TGFb_score,0.21393505260473814,-0.2196147442668108,0.43354979687154893,116,113
scrna_spatial,hypoxia_vascular_score,0.20762205714529325,-0.21313414715799991,0.4207562043032932,116,113
scrna_spatial,remodeling_score,0.33808933495466253,-0.3470651580065565,0.685154492961219,116,113
scrna_spatial,fibrotic_activity_score,0.2395588746030555,-0.24591884472526046,0.48547771932831596,116,113
