sample_id,subcluster,core_gene_score,n_core_genes,profibrotic_fibroblast_score
GSE163973_KF2_fib_cluster_9,fib_cluster_9,0.5402459508161128,44,-0.08244940597561749
GSE163973_KF2_fib_cluster_3,fib_cluster_3,0.3518372157151337,44,2.2137650209691055
GSE163973_KF2_fib_cluster_10,fib_cluster_10,0.31210982003585674,44,1.768147220961431
GSE163973_NF2_fib_cluster_7,fib_cluster_7,0.310191867063195,44,1.1007183216531629
GSE163973_KF2_fib_cluster_2,fib_cluster_2,0.30977618948833363,44,1.3481500597976772
GSE163973_KF1_fib_cluster_3,fib_cluster_3,0.30590348377806875,44,2.0031348719226987
GSE163973_KF1_fib_cluster_9,fib_cluster_9,0.2994792690685765,44,-0.22590584576631983
GSE163973_KF3_fib_cluster_10,fib_cluster_10,0.29099581166921645,44,1.4828598528166128
GSE163973_NF2_fib_cluster_9,fib_cluster_9,0.2746702146668856,44,-0.9738987799730968
GSE163973_NF2_fib_cluster_3,fib_cluster_3,0.27180519645700074,44,1.5895883088807319
GSE163973_NF2_fib_cluster_11,fib_cluster_11,0.2716109225429834,44,0.9657204459544008
GSE163973_KF1_fib_cluster_10,fib_cluster_10,0.2641619487900167,44,0.9091331981889539
GSE163973_KF2_fib_cluster_5,fib_cluster_5,0.25374988475187477,44,1.0428101971865569
GSE163973_KF2_fib_cluster_1,fib_cluster_1,0.24944307801781965,44,0.7285376183149104
GSE163973_KF3_fib_cluster_3,fib_cluster_3,0.2494116280378738,44,2.1844702297350476
GSE163973_KF2_fib_cluster_6,fib_cluster_6,0.24314317440874855,44,0.7534268836334
GSE163973_KF2_fib_cluster_8,fib_cluster_8,0.21802331238626735,44,0.9562062607356429
GSE163973_KF1_fib_cluster_5,fib_cluster_5,0.19943146751228794,44,-0.006372327322590154
GSE163973_KF2_fib_cluster_0,fib_cluster_0,0.18969289323201496,44,1.8542581849881978
GSE163973_KF3_fib_cluster_2,fib_cluster_2,0.17201471380286543,44,1.2708390831056215
GSE163973_KF2_fib_cluster_4,fib_cluster_4,0.1626603647351076,44,0.9380523108339753
GSE163973_KF3_fib_cluster_0,fib_cluster_0,0.1562940228269433,44,1.8758564131839497
GSE163973_KF3_fib_cluster_1,fib_cluster_1,0.14897320577605666,44,0.5721072365065969
GSE163973_NF2_fib_cluster_5,fib_cluster_5,0.13624568620486482,44,0.95813765881443
GSE163973_KF1_fib_cluster_0,fib_cluster_0,0.13384308856765473,44,1.3930525889265877
GSE163973_KF3_fib_cluster_4,fib_cluster_4,0.1226393879204303,44,0.9900026782237928
GSE163973_KF1_fib_cluster_2,fib_cluster_2,0.08484436825166602,44,0.3539927453569568
GSE163973_KF3_fib_cluster_6,fib_cluster_6,0.07921288104818663,44,1.014708384257247
GSE163973_KF1_fib_cluster_1,fib_cluster_1,0.0783318281304219,44,-0.08777555171687605
GSE163973_NF1_fib_cluster_9,fib_cluster_9,0.07678039858843687,44,-1.3216623067938649
